question,choice_A,choice_B,choice_C,choice_D,answer,category,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
Which of the following is not an application layer protocol?, resource reservation protocol, None of the other choices, media gateway protocol, session initiation protocol,A,,val,-2.1380772590637207,-0.034485117081672914,-9.375,-6.34375,-5.119791507720947,-4.375,-3.828125,-3.37890625,-3.0279018878936768,-2.673583984375,-2.3789334297180176,-2.141918897628784,-7.125,-3.64111328125,-2.4398601055145264,-1.80731201171875,-1.419677734375,-1.1147054433822632,-0.8965889811515808,-0.686370849609375,-0.5228678584098816,-0.3283935487270355
What are examples of current limiting reactors?, any of the above., oil immersed magnetically shielded, oil immersed non-magnetically shielded," air cooled, air cored",A,,val,-5.302275657653809,-0.09640501195734197,-9.875,-9.875,-9.125,-9.125,-8.729166984558105,-8.4453125,-8.4453125,-7.178124904632568,-6.186197757720947,-5.3045830726623535,-2.890625,-2.890625,-2.27734375,-2.27734375,-1.9166666269302368,-1.476806640625,-1.476806640625,-1.158300757408142,-0.910888671875,-0.69091796875
What is the homomorphism of a regular set?, Non regular set, None of the other choices, Regular set, Null set,B,,val,-3.166063070297241,-0.06595964729785919,-9.4375,-7.796875,-6.927083492279053,-5.93359375,-5.290625095367432,-4.848958492279053,-4.3671875,-3.92822265625,-3.5154080390930176,-3.1663451194763184,-1.5546875,-0.9404296875,-0.6432291865348816,-0.46844482421875,-0.3468261659145355,-0.2431233674287796,-0.1514718234539032,-0.081024169921875,0.007839626632630825,0.08244629204273224
Which of the following hormones is not produced by the human placenta?, Human chorionic gonadotropin, Estrogen, Prolactin, Progesterone,C,,val,-1.9732282161712646,-0.02779194670663753,-8.625,-6.90625,-5.817708492279053,-4.496874809265137,-4.020833492279053,-3.572544574737549,-2.837999105453491,-2.5597901344299316,-2.329057216644287,-1.9723886251449585,-1.625,-1.248046875,-0.843017578125,-0.49053955078125,-0.3903910219669342,-0.3159267008304596,-0.1761678010225296,-0.10737915337085724,-0.03440718352794647,0.14606651663780212
Why is shrinkage allowance provided on the pattern in any casting process?, The temperature of metal drops from its pouring temperature to room temperature, The temperature of solid phase drops from its freezing temperature to room temperature, The temperature of the liquid metal drops from the pouring to its freezing temperature, The metal changes from the liquid to the solid state at its freezing temperature,B,,val,-4.397928237915039,-0.06108233663770887,-12.5625,-10.9375,-9.78125,-8.4375,-7.885416507720947,-7.2723212242126465,-6.072048664093018,-5.596093654632568,-5.1647725105285645,-4.396784782409668,-2.125,-1.79296875,-1.5963541269302368,-1.32421875,-1.2044271230697632,-1.1021205186843872,-0.7945963740348816,-0.664355456829071,-0.5553089380264282,-0.3511869013309479
Which of these structures is located on the dorsal side of a male cockroach?, Anus, Male genital pore, Gonapophysis, Foreleg,A,,val,-2.422322988510132,-0.03510613026826278,-5.84375,-5.520833492279053,-5.11328125,-4.630208492279053,-4.310267925262451,-3.7708332538604736,-3.5015625953674316,-3.0008137226104736,-2.783428430557251,-2.421109914779663,-5.21875,-2.255859375,-1.81103515625,-1.2294921875,-1.0266462564468384,-0.7277560830116272,-0.610058605670929,-0.414306640625,-0.3208383321762085,-0.12884114682674408
Which of the following models is commonly utilized in the macroscopic approach?, Mesoscopic Simulation Models, Macroscopic Simulation Models, Travel Demand Models, Greenshields model,D,,val,-2.9738810062408447,-0.03913001324001111,-8.9375,-8.46875,-7.4375,-5.824999809265137,-5.3203125,-4.794642925262451,-4.0390625,-3.7484374046325684,-3.509232997894287,-2.971698522567749,-2.609375,-2.01953125,-1.7890625,-1.3147461414337158,-1.0738118886947632,-0.8987862467765808,-0.6525065302848816,-0.536865234375,-0.4070934057235718,-0.13532902300357819
"In a zone-based firewall setup, how is traffic managed between interfaces that belong to the same zone?", Traffic between interfaces in the same zone is always blocked., None of the other choices, Traffic between two interfaces in the same zone is allowed by default., Traffic between interfaces in the same zone is blocked unless you apply a service policy to the zone pair.,C,,val,-2.734160900115967,-0.030379565556844075,-10.1875,-7.520833492279053,-6.275000095367432,-5.3973212242126465,-4.666666507720947,-4.173295497894287,-3.795673131942749,-3.4041666984558105,-3.0538833141326904,-2.732983350753784,-1.453125,-1.2135416269302368,-0.912890613079071,-0.6762171983718872,-0.4735378623008728,-0.31588467955589294,-0.18525578081607819,-0.08008626103401184,0.005392635706812143,0.10638748854398727
What was the primary point of contention between the Congress and the Muslim League regarding the Cabinet Mission Plan?," The Congress felt that the grouping of the provinces was optional, while the League was of the view that it was compulsory.", The provinces be given the right to modify the union constitution., The interim government be not formed till it was acceptable to the League, The League felt that the basis of Pakistan was implied in the grouping of provinces.,A,,val,-2.1889398097991943,-0.021672671384150438,-9.0625,-7.760416507720947,-6.46875,-5.159598350524902,-4.244791507720947,-3.5841619968414307,-3.112680196762085,-2.745833396911621,-2.4403722286224365,-2.1898322105407715,-2.125,-0.9368489384651184,-0.5418945550918579,-0.3259626030921936,-0.1788737028837204,-0.07497336715459824,0.018592247739434242,0.0955403670668602,0.16885913908481598,0.23969469964504242
"Adler, in contrast to Jung, believed that psychological health was connected to ______.", the abilities to love and work, None of the other choices, compensation for feelings of inferiority, differentiation of the self,C,,val,-3.087035655975342,-0.037646776292382216,-6.40625,-5.875,-5.7578125,-5.375,-4.884765625,-4.71006965637207,-4.2421875,-4.034505367279053,-3.510044574737549,-3.0863037109375,-1.359375,-1.0592447519302368,-0.8671875,-0.6317545771598816,-0.4718170166015625,-0.3947618305683136,-0.26821067929267883,-0.2157490998506546,-0.1189400777220726,0.01775360107421875
