method,auroc,interpretation
loss,0.3415,no signal
zlib,0.3152,no signal
mink_0.1,0.5371,no signal
mink_0.2,0.512,no signal
mink_0.3,0.4637,no signal
mink_0.4,0.418,no signal
mink_0.5,0.3866,no signal
mink_0.6,0.3583,no signal
mink_0.7,0.342,no signal
mink_0.8,0.3381,no signal
mink_0.9,0.3342,no signal
mink_1.0,0.3419,no signal
minkpp_0.1,0.5617,weak signal
minkpp_0.2,0.5796,weak signal
minkpp_0.3,0.5782,weak signal
minkpp_0.4,0.5772,weak signal
minkpp_0.5,0.589,weak signal
minkpp_0.6,0.5975,weak signal
minkpp_0.7,0.6116,weak signal
minkpp_0.8,0.6291,weak signal
minkpp_0.9,0.6427,weak signal
minkpp_1.0,0.6668,moderate — possible contamination
