question,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
 Жер асты суларының стохастикалық қайта зарядталуының өзгергіштігі мен сызықтық емес қанықпаған ағын динамикасы арасындағы байланыс ылғалды және құрғақ су жиналатын алқаптардағы өзен ағындысының спектрлерінің пайда болатын масштабтау заңдарына қалай әсер етеді?,-2.3837873935699463,-0.008995424126679042,-8.668749809265137,-6.729166507720947,-5.843245983123779,-5.088541507720947,-4.398879528045654,-3.8639633655548096,-3.365867853164673,-2.995151996612549,-2.6593852043151855,-2.3844187259674072,-2.706249952316284,-1.7830171585083008,-1.2872531414031982,-0.9341532588005066,-0.708736777305603,-0.5529910922050476,-0.414703369140625,-0.3107394278049469,-0.20440545678138733,-0.09762457758188248
 Эпигенетикалық мұрагерлік бірнеше ұрпақ бойы тез өзгеретін микротіршілік ету орталарында бейімделгіш фенотиптік диверсификация жылдамдығы мен бағытын қалыптастыру үшін ауытқып тұратын селективті қысыммен қалай өзара әрекеттеседі?,-2.197948694229126,-0.008722018627893357,-7.328125,-6.181250095367432,-5.2947916984558105,-4.630078315734863,-4.014218807220459,-3.530078172683716,-3.105747699737549,-2.740264892578125,-2.441861391067505,-2.1982152462005615,-2.53125,-1.721289038658142,-1.268334984779358,-0.9459365606307983,-0.7385314702987671,-0.5812957882881165,-0.45391759276390076,-0.3437599241733551,-0.241241455078125,-0.13000793755054474
 Ірі көлемді конформациялық қақпалаудан өтетін металлоферменттердің каталитикалық айналым жиіліктерін болжау үшін гибридті QM/MM молекулалық динамикасын модельдеуге айқын еріткіш поляризациясын және кванттық заряд тасымалдау жолдарын енгізудің механистік салдары қандай?,-2.5670077800750732,-0.008975551678584172,-9.171875,-7.545312404632568,-6.3099799156188965,-5.492378234863281,-4.765775203704834,-4.174332141876221,-3.6634929180145264,-3.2065958976745605,-2.8691747188568115,-2.5669353008270264,-3.359375,-2.33984375,-1.7822580337524414,-1.3625242710113525,-1.0547057390213013,-0.8555470108985901,-0.6964514255523682,-0.5529928803443909,-0.4397048056125641,-0.3172135055065155
"Арктиканың мәңгілік мұз қабатындағы көміртектің бөлінуі, метанның тотығу жылдамдығы және атмосфералық радиациялық күш арасындағы сызықтық емес кері байланысты ескере отырып, мәңгілік мұздың еруі жаһандық жылынуды 2°C-тан асатын шекті температураны болжау үшін интеграцияланған Жер жүйесінің модельдерін қалай калибрлеуге болады?",-2.1283819675445557,-0.006334470141501654,-7.73557710647583,-6.540509223937988,-5.605078220367432,-4.750723361968994,-4.042738914489746,-3.503038167953491,-3.0280838012695312,-2.6755483150482178,-2.37199330329895,-2.128286123275757,-2.421273946762085,-1.685185194015503,-1.2288154363632202,-0.8948414921760559,-0.6816213130950928,-0.5363215804100037,-0.40459144115448,-0.3006063401699066,-0.19904790818691254,-0.092562735080719
 Эпигенетикалық мұрагерлік периодты қоршаған ортаның экстремалды жағдайларын бастан кешіретін жыныстық жолмен көбеюші популяцияларда бейімделгіш белгілердің бекітілу жылдамдығын қалыптастыру үшін ауытқып тұратын селективті қысыммен қалай өзара әрекеттеседі?,-1.9054096937179565,-0.006829425425512389,-6.948863506317139,-5.7350850105285645,-4.8210225105285645,-4.098544120788574,-3.5498578548431396,-3.070549249649048,-2.6835429668426514,-2.3718483448028564,-2.1151936054229736,-1.9048540592193604,-2.147017002105713,-1.427734375,-0.9897313117980957,-0.7159257531166077,-0.5301979780197144,-0.3869369924068451,-0.2723563015460968,-0.17552323639392853,-0.08716806769371033,0.007166637107729912
 Әртүрлі фазалы бұлт жағдайында гетерогенді аэрозоль бетінің химиясы гетерогенді мұздың ядролану жылдамдығын модуляциялайтын қандай механистік жолдар бар және бұл жолдар атмосфералық радиациялық күшке қалай кері байланыс береді?,-2.214249849319458,-0.00918775871086912,-8.291666984558105,-7.052083492279053,-5.853794574737549,-5.019003391265869,-4.236701965332031,-3.6587612628936768,-3.190722703933716,-2.773177146911621,-2.4776625633239746,-2.2143912315368652,-4.234375,-2.661241292953491,-1.8532017469406128,-1.3929113149642944,-1.0767769813537598,-0.8750719428062439,-0.7183612585067749,-0.5741422772407532,-0.4564049243927002,-0.3364582359790802
" Полиплоидты омыртқалылардың тұқым қуалауындағы жылдам бейімделгіш сәулелену кезінде эпигенетикалық модификациялар, транспозицияланатын элементтерді енгізу және үш өлшемді хроматин архитектурасы гендік реттеуші желілерді модуляциялау үшін қандай жолдармен бірге дамиды?",-2.4631247520446777,-0.008377975347090741,-8.921875,-7.319940567016602,-6.355846881866455,-5.403645992279053,-4.605247497558594,-4.015686988830566,-3.4892578125,-3.0956740379333496,-2.745793104171753,-2.4630544185638428,-2.746875047683716,-1.9345238208770752,-1.4584015607833862,-1.0592186450958252,-0.8041877150535583,-0.6354612112045288,-0.4897180497646332,-0.3748706579208374,-0.26115208864212036,-0.1442076414823532
Әртүрлі қоршаған орта стрессорлары кезінде себеп-салдарлық реттеуші желі динамикасын анықтау және пайда болатын фенотиптік бифуркацияларды болжау үшін мультиомикалы уақыт бойынша шешілген пертурбация деректерін стохастикалық дифференциалдық теңдеу модельдерімен қалай біріктіруге болады?,-2.098015069961548,-0.006993383566538493,-9.321022987365723,-7.389204502105713,-6.034090995788574,-4.921527862548828,-4.125697612762451,-3.4939656257629395,-2.9859201908111572,-2.629774332046509,-2.3467631340026855,-2.0982272624969482,-2.6875,-1.7966086864471436,-1.291089653968811,-0.9276828169822693,-0.7167990803718567,-0.5644695162773132,-0.43467074632644653,-0.3372083902359009,-0.2534336745738983,-0.1544448733329773
 Өсімдіктердің функционалдық белгілерінің әртүрлілігі мен топырақтың микробтық желісінің модульділігі арасындағы өзара әрекеттесу экожүйенің қоңыржай жайылымдарда бір мезгілде құрғақшылық пен азоттың жиналуына төзімділігіне қалай әсер етеді?,-1.9324421882629395,-0.007347688928756424,-8.121874809265137,-6.292410850524902,-5.140625,-4.293968200683594,-3.6616029739379883,-3.1895751953125,-2.7598047256469727,-2.4225564002990723,-2.151937246322632,-1.9334115982055664,-1.9953124523162842,-1.3387277126312256,-0.9497165679931641,-0.6870471835136414,-0.5139533281326294,-0.39191532135009766,-0.2838614881038666,-0.19338847696781158,-0.10448778420686722,-0.0117780901491642
 Эпигенетикалық ДНҚ метилдену үлгілері мен үш өлшемді хроматин циклінің өзара әрекеттесуі сүтқоректілерде ерте эмбриогенез кезінде басылған гендердің аллельге тән экспрессиясына қалай әсер етеді?,-2.054561138153076,-0.009050930124022362,-7.23828125,-5.818014621734619,-5.025841236114502,-4.411764621734619,-3.834120750427246,-3.321664571762085,-2.93603515625,-2.5821585655212402,-2.2907073497772217,-2.0546422004699707,-1.9013671875,-1.2757352590560913,-0.8937425017356873,-0.6607163548469543,-0.48275119066238403,-0.3489614725112915,-0.25243327021598816,-0.16080021858215332,-0.07098232209682465,0.027865706011652946
 Теңіз биогеохимиясында мезомасштабты құйындар тудырған қоректік заттар ағындарының микробтық ген экспрессиясының желілерімен байланысы болжамды климаттың өзгеруі сценарийлері кезінде олиготрофты гирлер арқылы көміртектің секвестрация тиімділігін қалай модуляциялайды?,-2.50646710395813,-0.00885677421893332,-8.985795021057129,-7.357954502105713,-6.317234992980957,-5.41015625,-4.6378350257873535,-4.041744232177734,-3.547551155090332,-3.1431376934051514,-2.806411027908325,-2.5068628787994385,-3.1321022510528564,-2.196732997894287,-1.681758999824524,-1.282087802886963,-0.9774736762046814,-0.7758169770240784,-0.6179794073104858,-0.48702213168144226,-0.3722192347049713,-0.2425994873046875
