subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
professional_law,"A company incorporated and headquartered in State A sued a plumber domiciled in State B in a federal court in State A, alleging that the plumber had negligently installed pipes in a manner that resulted in $250,000 in damage to the company's headquarters building. In response to the complaint, the plumber filed a motion to dismiss for lack of personal jurisdiction. The court denied the motion. Thereafter, the plumber did not file an answer or any other response to the company's action. Sixty days after the court's order denying the motion to dismiss, the company asked the clerk to enter default, and the clerk did so. The company applied to the court for the entry of a default judgment and notified the plumber three days before the default judgment hearing. After an ex parte hearing in which the court received evidence on the damages amount, the court entered a default judgment for the full amount sought. Ten days later, the plumber filed a motion to set aside the default judgment. Is the court likely to grant the plumber's motion?","No, because the court could fix the amount of damages even without hearing the plumber's evidence.","No, because the plumber failed to plead or otherwise defend against the company's action.","Yes, because the plumber was not given adequate notice of the hearing on the company's application for the entry of a default judgment.","Yes, because the State A federal court lacked personal jurisdiction over the plumber as a State B citizen.",2,C,test,-1.7110931873321533,-0.0036023014470150595,-6.868750095367432,-5.4615092277526855,-4.427671432495117,-3.739081382751465,-3.193134069442749,-2.7597968578338623,-2.412590980529785,-2.130847692489624,-1.9000893831253052,-1.7104084491729736,-2.037890672683716,-1.3782392740249634,-0.9234776496887207,-0.6596885323524475,-0.48486563563346863,-0.3531425893306732,-0.24424931406974792,-0.15440359711647034,-0.07316037267446518,0.014352899044752121
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I offered the babysitter extra money to stay late with me alone. Scenario 2 | I tossed the ball to my friend.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",1,B,test,-3.162917375564575,-0.015974330179619068,-9.333333015441895,-8.384614944458008,-7.192187309265137,-6.250578880310059,-5.505054950714111,-4.989453315734863,-4.43334436416626,-3.946903944015503,-3.5259149074554443,-3.1635265350341797,-2.5494792461395264,-2.005408763885498,-1.58740234375,-1.1780779361724854,-0.9127412438392639,-0.7256835699081421,-0.5536070466041565,-0.40219905972480774,-0.2698514461517334,-0.1383846551179886
nutrition,"Infants and children with a suspected food allergy e.g. cow's milk allergy/intolerance could display the following symptoms and signs:
",severe atopic dermatitis,enterocolitis,diarrhoea,all of the above,3,D,test,-2.8154373168945312,-0.024915374485792313,-12.5,-8.931249618530273,-7.654017925262451,-6.159375190734863,-5.144831657409668,-4.596875190734863,-3.9485676288604736,-3.6016602516174316,-3.1706435680389404,-2.815821647644043,-5.140625,-2.975781202316284,-2.1337890625,-1.4203612804412842,-0.993727445602417,-0.7914388179779053,-0.5655653476715088,-0.4449462890625,-0.2948581874370575,-0.149658203125
conceptual_physics,"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,1,B,test,-3.409243583679199,-0.0370569954747739,-9.40625,-8.421875,-7.765625,-6.97265625,-5.988636493682861,-5.404447078704834,-4.839583396911621,-4.345358371734619,-3.9299957752227783,-3.4102783203125,-2.5,-2.08984375,-1.7467447519302368,-1.46484375,-1.0988547801971436,-0.9242037534713745,-0.752148449420929,-0.600700855255127,-0.4782586395740509,-0.32674893736839294
nutrition,"Which of the following statements about methods of evaluating protein quality in human nutrition is correct?
","The rat protein efficiency ratio assay, (PER), is a good method of assessing protein quality for human nutrition.","The rat net protein-utilisation assay, (NPU), is the best method of assessing protein quality for human nutrition.",Animal growth assays underestimate the quality of dietary proteins for human nutrition,The growing rat is a good model for assessing protein quality in human nutrition.,2,C,test,-2.4486749172210693,-0.02604973316192627,-9.4375,-7.135416507720947,-5.775000095367432,-5.229166507720947,-4.3310546875,-3.7523436546325684,-3.532670497894287,-3.171875,-2.7750163078308105,-2.4503962993621826,-0.8125,-0.4252115786075592,-0.21684570610523224,-0.1588948518037796,-0.054595947265625,0.04167480394244194,0.08795721083879471,0.16937725245952606,0.24158528447151184,0.34229952096939087
miscellaneous,Which of these performers made her film debut in Spike Lee's 'Dothe Right Thing'?,Jennifer Lopez,Rosie Perez,Paula Abdul,Tisha Campbell,1,B,test,-4.230693817138672,-0.0528836727142334,-13.375,-10.354166984558105,-8.681249618530273,-8.109375,-7.27734375,-6.623437404632568,-6.215909004211426,-5.474158763885498,-4.782552242279053,-4.231086254119873,-5.25,-4.213541507720947,-3.3499999046325684,-2.9407551288604736,-2.37255859375,-1.9103515148162842,-1.705610752105713,-1.380859375,-1.1194010972976685,-0.855583667755127
college_chemistry,Which of the following is required for both paramagnetism and ferromagnetism?,Strong oxidizing conditions,Low-spin electron configuration,Metallic physical properties,Unpaired electrons,3,D,test,-1.9049150943756104,-0.026829790061628316,-9.625,-7.1875,-6.28515625,-4.7421875,-3.775390625,-3.3763020038604736,-2.768599033355713,-2.5396931171417236,-2.177769184112549,-1.9057543277740479,-2.109375,-1.2434896230697632,-1.0390625,-0.7047526240348816,-0.516082763671875,-0.4482150673866272,-0.34017667174339294,-0.2956339418888092,-0.1913190633058548,-0.0284881591796875
security_studies,What preventative security measures might a government take in defence of a potential future terrorist attack?,Prevention is normally associated with the concept of terrorism as war or crime. All governments will practice prevention (seen as repression from the terrorist perspective) by seeking to arrest or eliminate those actively involved in the violence. Security forces attack the terrorists before they strike (war) or they are arrested after the attack (crime).,"Large terrorist organizations are hard to penetrate, being highly cohesive and centralized in structure. In both the warfare and criminal model, intelligence is obtained by two methods; firstly to elicit information from captured terrorists or secondly from an informer within the group. An intelligence coup greatly enhances the prospect of stopping terrorist operations once the larger group has been compromised.","Prevention of terrorism is a highly controversial policy designed to reduce the appeal of terrorism within the population through reform packages. The method is characterized by diplomatic exchanges. However, as a preventative method it has been questioned and it is argued to resemble concessionary politics.","Prevention is conceived as securing the physical integrity of targets and key political installations, particularly weapons installations, national buildings, national or cultural symbols, or defence deployments. Protecting possible targets of the state enhances the wellbeing of more vulnerable targets. Terrorists may move to more convenient territory to target their objectives which make it more difficult to control.",0,A,test,-4.330887317657471,-0.04707486214845077,-10.6875,-9.9375,-9.5,-7.973958492279053,-7.12890625,-6.755208492279053,-6.042613506317139,-5.649088382720947,-4.9093194007873535,-4.3330078125,-7.15625,-4.151041507720947,-3.75390625,-2.666748046875,-1.97076416015625,-1.7155489921569824,-1.3182262182235718,-1.1671956777572632,-0.9173060655593872,-0.714263916015625
miscellaneous,"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,0,A,test,-2.4117870330810547,-0.03132190952053318,-7.53125,-7.40625,-5.26171875,-4.728125095367432,-4.044642925262451,-3.74609375,-3.4713542461395264,-3.005326747894287,-2.7854816913604736,-2.4111850261688232,-2.203125,-1.0556640625,-0.43017578125,-0.2855468690395355,-0.0510602667927742,0.028076171875,0.0900607630610466,0.19584517180919647,0.24169921875,0.3611886203289032
professional_medicine,A 42-year-old woman with a history of multiple sclerosis comes to the office because she had a sudden loss of vision in the right eye. She has no history of diplopia. External ocular movements are normal but funduscopic examination shows pallor of the optic disk. This patient's condition is most likely a result of demyelination of which of the following?,Medial longitudinal fasciculus,Oculomotor nerve,Optic nerve,Trigeminal nerve,2,C,test,-1.8261516094207764,-0.007837560555453977,-7.075892925262451,-5.369791507720947,-4.583806991577148,-3.8882813453674316,-3.3233964443206787,-2.9384548664093018,-2.577388048171997,-2.307723045349121,-2.0401172637939453,-1.8255629539489746,-2.3113839626312256,-1.484375,-1.0823558568954468,-0.7817240357398987,-0.5916314125061035,-0.4545694887638092,-0.31387385725975037,-0.20726826786994934,-0.10010573267936707,0.021091662347316742
