id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
10982,professional_law,Право,"Студент колледжа возбудил уголовное дело против своего бывшего соседа по комнате, утверждая, что бывший сосед по комнате пробрался в его дом и забрал из него ультрасовременное оборудование для домашнего кинотеатра. Студент колледжа взял документы с жалобой, которые были одобрены прокуратурой, и подал их в мировой суд. Однако продолжающееся полицейское расследование позже установило, что студент колледжа был мстительным человеком, не прочь сочинять истории, и что он и бывший сосед по комнате спорили по нескольким связанным с этим вопросам. Они также установили, что у него никогда не было качественного звукового или видеооборудования. Полиция прекратила уголовное преследование, и уголовное дело было прекращено на предварительном слушании. Когда бывший сосед по комнате подал гражданский иск против студента колледжа, обвиняя его в совершении правонарушения, связанного со злонамеренным преследованием, будут ли приемлемы доказательства недобросовестной репутации студента и почему?","Да, потому что нечестность в любое время в прошлом всегда имеет отношение к жалобе на злонамеренное судебное преследование.","Да, потому что, несмотря на то, что доказательства характера являются слишком второстепенными, чтобы их можно было принять за косвенные доказательства, они допустимы, если они непосредственно рассматриваются в деле.","Да, потому что доказательства репутации, как и большинство свидетельств о персонаже, практически всегда допустимы.","Да, потому что, хотя большинство свидетельств о характере недопустимы, некоторые из них допустимы, а доказательства репутации всегда допустимы.",B,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,-2.3305985927581787,-0.0034172999893814938,-8.559895515441895,-7.08984375,-6.065755367279053,-5.167767524719238,-4.454029083251953,-3.8550782203674316,-3.322314500808716,-2.918316602706909,-2.5982093811035156,-2.331016778945923,-2.0787761211395264,-1.3720703125,-0.9738820195198059,-0.7143101692199707,-0.554356575012207,-0.43214574456214905,-0.32494255900382996,-0.22925056517124176,-0.13597512245178223,-0.024940522387623787
4221,high_school_mathematics,Математика,"Чему равна сумма всех положительных целых значений $n$, таких что $n ^ 2$ является делителем $1200$?",42,12,36,39,A,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,-1.7610777616500854,-0.01294910118860357,-6.989583492279053,-5.03125,-4.040798664093018,-3.4622395038604736,-2.982421875,-2.721217155456543,-2.476029872894287,-2.239609479904175,-2.011474609375,-1.7608020305633545,-2.9443359375,-1.5006599426269531,-0.97519850730896,-0.6882674098014832,-0.44015073776245117,-0.3105175495147705,-0.20851516723632812,-0.10896209627389908,-0.019302096217870712,0.10249543190002441
725,clinical_knowledge,Медицина,"Какие из перечисленных признаков указывают на то, что пульсация на шее является артериальной?",Подрагивающая мочка уха,Положительный печёночно-яремный рефлюкс,Отсутствие изменений при смене позы,Давление в основании шеи уменьшает импульс,C,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,-2.0466229915618896,-0.016243039615570554,-7.296875,-6.0,-5.369791507720947,-4.572916507720947,-4.025568008422852,-3.527644157409668,-2.9366455078125,-2.615064859390259,-2.354205369949341,-2.0474250316619873,-0.7109375,-0.391448974609375,-0.251251220703125,-0.1438463032245636,-0.09376664459705353,-0.04914269223809242,0.041736602783203125,0.096343994140625,0.17635802924633026,0.29958441853523254
11096,professional_law,Право,"Пациентка одной из федеральных больниц сообщила, что мужчина-медик совершил над ней сексуальное насилие. Мужчина был арестован. На суде обвинение представило доказательства того, что мужчина был осужден за два предыдущих сексуальных нападения на двух других женщин, оба случая произошли примерно двумя годами ранее. Обвинения и образ действий мужчины в этих делах были практически идентичны данному делу. Адвокат защиты возразил против этих доказательств на том основании, что их предвзятость перевешивает их доказательную ценность. Основываясь на федеральных правилах доказывания, какое решение, скорее всего, примет суд по этому вопросу?",Доказательство является слишком предвзятым и должно быть исключено.,"Доказательство недопустимо, поскольку не имеет отношения к предъявленным обвинениям и обладает низкой доказательной силой.","Доказательство допустимо, поскольку государственная политика благоприятствует задержанию и преследованию сексуальных хищников.","Доказательство допустимо из-за фактического сходства с настоящим обвинением, что придает им большую доказательную силу.",D,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,-2.1580915451049805,-0.00422327112545006,-7.816666603088379,-6.254166603088379,-5.402083396911621,-4.720052242279053,-4.074629783630371,-3.5354137420654297,-3.0797832012176514,-2.709195137023926,-2.412052869796753,-2.1582884788513184,-1.7145832777023315,-1.0911133289337158,-0.7385036945343018,-0.5418335199356079,-0.40240478515625,-0.29996296763420105,-0.20879781246185303,-0.12895265221595764,-0.04853910580277443,0.05299296975135803
1736,conceptual_physics,Физика,"Работа, совершенная над 100-килограммовым ящиком, который поднимается на 2 м за 4 секунды, равна",200 Дж,500 Дж,800 Дж,2000 Дж,D,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,-2.257976531982422,-0.01736905024601863,-7.083333492279053,-6.0,-5.265625,-4.67067289352417,-3.9908087253570557,-3.561328172683716,-3.2146739959716797,-2.8088831901550293,-2.5533854961395264,-2.2588119506835938,-0.9049479365348816,-0.66552734375,-0.4161132872104645,-0.2787334620952606,-0.1326114386320114,-0.0504150390625,0.01517917774617672,0.09112774580717087,0.15310873091220856,0.2503302991390228
7216,marketing,Бизнес,"База данных информации, которая поддерживается редакторами-людьми и содержит списки веб-сайтов по категориям и подкатегориям с категоризацией, известна как:",Поисковый каталог.,Автоматическое распознавание голоса (AVR).,Приложения.,Поисковая оптимизация.,A,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,-2.924682378768921,-0.017618568546800727,-8.1015625,-7.48828125,-6.8203125,-6.009765625,-5.32421875,-4.757486820220947,-4.165108680725098,-3.652740478515625,-3.248224973678589,-2.923607110977173,-2.34765625,-1.625,-1.2547200918197632,-0.9813385009765625,-0.776507556438446,-0.6303253173828125,-0.5131443738937378,-0.4059715270996094,-0.298309326171875,-0.16955260932445526
7496,miscellaneous,Общие факты,Примерно сколько фильмов смотрят дома в США за год?,200000000,2000000000,20000000000,200000000000,C,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,-3.9758453369140625,-0.049084510332272374,-7.9375,-7.765625,-7.104166507720947,-6.6328125,-5.770833492279053,-5.426339149475098,-5.15625,-4.907986164093018,-4.5703125,-3.9749348163604736,-1.2578125,-1.171875,-1.1002603769302368,-0.9599609375,-0.6980794072151184,-0.6013880968093872,-0.517791748046875,-0.4482693076133728,-0.3491455018520355,-0.15130615234375
6727,logical_fallacies,Логика,"Какое из следующих заблуждений возникает, когда кто-то делает вывод, что человек не мог сделать что-то хорошее, потому что у него есть отрицательные качества?",Восхваление личности,Вина по ассоциации,Порицаемая личность,Круговое рассуждение,C,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,-1.9875129461288452,-0.011292687193913893,-7.208333492279053,-5.8973212242126465,-5.044034004211426,-4.4520087242126465,-3.8185763359069824,-3.2824928760528564,-2.9269139766693115,-2.5322349071502686,-2.226900577545166,-1.986302137374878,-1.8776041269302368,-1.0061384439468384,-0.6388938426971436,-0.4876011312007904,-0.3463134765625,-0.24037863314151764,-0.17497070133686066,-0.08490200340747833,0.0055264560505747795,0.10965873301029205
191,anatomy,Биология,На каких поверхностях зубов чаще всего скапливается зубной налет во рту пациента с плохой гигиеной полости рта?,Небные поверхности верхних коренных зубов и язычные поверхности нижних резцов.,Щечные поверхности верхних коренных зубов и язычные поверхности нижних резцов.,Небные поверхности верхних коренных зубов и губные поверхности нижних резцов.,Щечные поверхности верхних коренных зубов и губные поверхности нижних резцов.,B,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,-2.9324405193328857,-0.021562062642153573,-9.90625,-8.59375,-7.5714287757873535,-6.453125,-5.72265625,-4.797916889190674,-4.288487911224365,-3.664135694503784,-3.3332908153533936,-2.933622360229492,-3.296875,-2.055468797683716,-1.6328125,-1.1862304210662842,-0.9918314814567566,-0.7819742560386658,-0.6726863980293274,-0.533843994140625,-0.4514881372451782,-0.3205908238887787
2057,elementary_mathematics,Математика,"Используйте приведенное ниже выражение, чтобы ответить на вопрос. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Каково значение выражения?",9,11,26,32,C,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,-2.3062868118286133,-0.014414292573928834,-9.3203125,-7.01171875,-5.697916507720947,-4.8798828125,-4.154761791229248,-3.702500104904175,-3.2793641090393066,-2.91953706741333,-2.6184873580932617,-2.3074889183044434,-4.44140625,-2.54443359375,-1.8056640625,-1.3777847290039062,-1.0340343713760376,-0.830151379108429,-0.6626439690589905,-0.5288196802139282,-0.4176487326622009,-0.2804100513458252
