method,auroc,interpretation
loss,0.2053,no signal
zlib,0.0251,no signal
mink_0.1,0.4282,no signal
mink_0.2,0.3444,no signal
mink_0.3,0.2933,no signal
mink_0.4,0.2608,no signal
mink_0.5,0.2361,no signal
mink_0.6,0.2125,no signal
mink_0.7,0.2031,no signal
mink_0.8,0.1969,no signal
mink_0.9,0.1951,no signal
mink_1.0,0.2053,no signal
minkpp_0.1,0.6032,weak signal
minkpp_0.2,0.5376,no signal
minkpp_0.3,0.5138,no signal
minkpp_0.4,0.4811,no signal
minkpp_0.5,0.4969,no signal
minkpp_0.6,0.4817,no signal
minkpp_0.7,0.4866,no signal
minkpp_0.8,0.4995,no signal
minkpp_0.9,0.5102,no signal
minkpp_1.0,0.5506,weak signal
