id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
12630,https://ymnik.kz/tests_old/literature_kz/?v=63,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),"Қабаққа біткен қайыңныңБеріші еді, безі еді.Өтіндей - ақ аюдыңӘкемнен қалған көз еді. (І. Жансүгіров)Үзіндіде қолданылған бейнелеу құралын көрсетіңіз.",Әсірелеу.,Метафора.,Кейіптеу.,Аллегория.,Синекдоха.,B,test,-3.043642282485962,-0.016815703218154485,-8.125,-6.828125,-6.118489742279053,-5.5810546875,-5.017149448394775,-4.549266815185547,-4.128563404083252,-3.745192289352417,-3.40105938911438,-3.0431504249572754,-2.537109375,-1.7216796875,-1.30322265625,-0.9856033325195312,-0.7230194807052612,-0.5573033094406128,-0.41980624198913574,-0.2937387228012085,-0.17801864445209503,-0.05677460506558418
2008,https://itest.kz/ru/endless,STEM,Biology,High School,Russian,Biology (High School in rus),Хроматофоры у спирогиры расположены,Спирально,Линейно,Кругами,Параллельно,,A,test,-4.010701656341553,-0.06170310240525466,-8.0625,-7.25,-6.625,-6.2734375,-6.006249904632568,-5.505208492279053,-5.033482074737549,-4.666015625,-4.309027671813965,-4.005468845367432,-1.828125,-1.61328125,-1.1796875,-0.928466796875,-0.7408081293106079,-0.5911356806755066,-0.4637189507484436,-0.34886932373046875,-0.2389255166053772,-0.13768920302391052
15066,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),"Пароход проплыл 9 км против течения реки и 30 км по течению реки, затратив на весь путь 1,5 ч. Найдите собственную скорость парохода, если скорость течения реки 6 км/ч.",26 км/ч,22 км/ч,24 км/ч,14 км/ч,,C,test,-1.5979325771331787,-0.00939960339490105,-6.037499904632568,-4.846875190734863,-3.984375,-3.4527530670166016,-2.9872684478759766,-2.6395263671875,-2.316854953765869,-2.005572557449341,-1.7979329824447632,-1.598648190498352,-1.873437523841858,-1.2966797351837158,-0.8459205627441406,-0.626409649848938,-0.4619615375995636,-0.35282325744628906,-0.2579527199268341,-0.16259339451789856,-0.08234278112649918,0.025186045095324516
263,https://oltest.kz/tests/buhgalterskiy_uchet_i_audit/,"Social Science





",Accounting and auditing,University,Russian,Accounting and Auditing (Professional & University in rus),"Способ экономической группировки и обобщения информации о состоянии хозяйственных средств по их составу и источникам образования в денежном выражении на определенную дату:
","
систематизация",инвентаризация,"
оценка","
калькуляция",бухгалтерский баланс,E,test,-3.169330358505249,-0.016948290687193845,-9.104166984558105,-7.5,-6.471875190734863,-6.0,-5.386029243469238,-4.974999904632568,-4.5641984939575195,-3.9669415950775146,-3.588574171066284,-3.170273780822754,-1.7447916269302368,-1.1712239980697632,-0.8013671636581421,-0.6146052479743958,-0.4415283203125,-0.33262330293655396,-0.24142853915691376,-0.14279966056346893,-0.06901448220014572,0.07122802734375
2199,https://ymnik.kz/tests_old/biology/?v=57,STEM,Biology,High School,Russian,Biology (High School in rus),"Круглые черви, паразитирующие в мышцах животных:",Трихинелла,Волосатик,Острица,Аскарида,Ришта,A,test,-2.7140939235687256,-0.03193051674786736,-6.78125,-6.104166507720947,-5.8046875,-5.239583492279053,-4.966517925262451,-4.23524284362793,-3.9058594703674316,-3.3683269023895264,-3.127103328704834,-2.714249610900879,-1.5703125,-1.109375,-0.8347015380859375,-0.522369384765625,-0.4273768961429596,-0.29193115234375,-0.243011474609375,-0.1183624267578125,-0.06268310546875,0.0378621406853199
20067,https://ymnik.kz/tests_old/literature/?v=5,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),"Композиционная часть «В некотором царстве, в некотором государстве жили-были …» в народной сказке называется:",Зачин.,Присказка.,Завязка.,Развязка.,Экспозиция.,A,test,-2.7530505657196045,-0.019252101858179053,-9.40625,-7.206250190734863,-6.51171875,-6.020312309265137,-5.17848539352417,-4.397705078125,-3.9908854961395264,-3.480189800262451,-3.085205078125,-2.7522740364074707,-2.73828125,-1.6609375476837158,-1.04559326171875,-0.792236328125,-0.52587890625,-0.342681884765625,-0.2447102814912796,-0.1132114976644516,-0.0064493813551962376,0.08584707975387573
21534,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),ХVІІІ ғасырдың І ширегінде Ресей экономикасына тән жағдай,Өндіріс пен капиталдың шоғырлануы өсті,Батыс елдерінен анағұрлым артта қалды,Батыс елдерінен экономикасынан алда болды,Феодалдық сарқыншақтар жойылды,,B,test,-3.005923271179199,-0.030672686440604075,-10.34375,-7.5625,-6.8035712242126465,-5.71875,-5.17578125,-4.592708110809326,-4.223345756530762,-3.703906297683716,-3.3990590572357178,-3.0035059452056885,-2.3359375,-1.607812523841858,-1.2160993814468384,-0.82373046875,-0.635498046875,-0.4384765625,-0.34036076068878174,-0.222412109375,-0.1448419690132141,-0.028554687276482582
56,https://oltest.kz/tests/buhgalterskiy_uchet_i_audit/,"Social Science





",Accounting and auditing,University,Russian,Accounting and Auditing (Professional & University in rus),"
Касса должна находится:","

в отдельном помещении","

в отделе снабжения","
в финансовом отделе","

в помещении бухгалтерии","
в помещении расчетной группы",A,test,-8.013684272766113,-0.16354457699522681,-8.75,-8.75,-8.75,-8.71875,-8.71875,-8.666666984558105,-8.666666984558105,-8.453125,-8.453125,-8.012499809265137,-1.5,-1.5,-1.5,-1.45703125,-1.45703125,-1.4375,-1.4375,-1.248046875,-1.248046875,-1.11328125
15838,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),"Высота правильной треугольной пирамиды 4 см, а ее апофемы 8 см. Вычислите площадь боковой поверхности пирамиды.",\(150\) см2,\(288\) см2,\(124\) см2,\(146\) см2,,B,test,-1.4568814039230347,-0.01079171410313359,-6.302083492279053,-4.880208492279053,-4.192708492279053,-3.353966236114502,-2.878173828125,-2.4910054206848145,-2.08406925201416,-1.8475341796875,-1.6575086116790771,-1.4567577838897705,-1.4231771230697632,-0.8821614384651184,-0.6016709804534912,-0.3996957540512085,-0.3048248291015625,-0.23032741248607635,-0.13210131227970123,-0.0655517578125,0.002786570694297552,0.0873209610581398
6245,https://itest.kz/kz/endless,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Отын өнеркәсібінің дамуына байланысты пайда болған агломерацияның қалалары,"Абай, Саран","Қапшағай, Ақсай","Есік, Талғар","Қаскелең, Шымбұлақ",,A,test,-2.226003885269165,-0.01952634987078215,-8.8125,-6.7265625,-5.545138835906982,-4.770833492279053,-4.140104293823242,-3.6380207538604736,-3.2377231121063232,-2.8640949726104736,-2.5558269023895264,-2.2275006771087646,-1.4114583730697632,-0.94140625,-0.6226670742034912,-0.427490234375,-0.2912760376930237,-0.1916232705116272,-0.1070498526096344,-0.0331217460334301,0.0470920130610466,0.1670236885547638
