question,предмет,выбор,отвечать,sheet,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
" Если психолог выступает одновременно свидетелем со стороны истца и экспертом в суде в уголовном процессе, то она совершила следующие действия:", профессиональная_психология," [«неэтично, принимая на себя двойную роль». «этично, если у нее не было предварительных отношений с истцом». «этично, если она уточнит свои роли со всеми сторонами». «этично, если она получит разрешение суда».]",2,Sheet1,-3.1393868923187256,-0.018911969230835695,-7.989583492279053,-7.4375,-6.861111164093018,-6.4296875,-5.724999904632568,-4.98828125,-4.39657735824585,-3.8942058086395264,-3.4864003658294678,-3.1390204429626465,-2.953125,-2.1796875,-1.7730034589767456,-1.3766275644302368,-1.1050536632537842,-0.9024997353553772,-0.722231924533844,-0.5713246464729309,-0.44273999333381653,-0.3069295287132263
 Каким образом точка зрения на терроризм влияет на ответные меры правительства?, исследования безопасности,"['В рамках концепции «рецепта болезни» пакеты реформ становятся частью ответных мер правительства, направленных на снижение привлекательности террористической группы среди населения. Однако реформы могут поощрять террористов к продолжению насильственной деятельности, поскольку они получают за это вознаграждение. В этих условиях реформы могут стать уступками, подпитывающими насилие, а не механизмом его прекращения. Также ясно, что реформы могут не устранить присутствие терроризма.' 'Современные меры реагирования на терроризм принимаются в контексте аналогии с войной против террора, в которой преобладают нормы возмездия и наказания. В этом взгляде подразумевается оправдание превентивных действий, предпринимаемых против учебных центров, штаб-квартир, источников финансирования и даже убийства ключевых лиц.' 'Хотя аналогия с войной предполагает сдерживание, сдерживание более важно для системы правосудия. В обычном уголовном контексте степень превентивных мер, доступных в данном случае, ограничивается задержанием подозреваемых или судебным преследованием.' 'Все эти варианты.' Реакция на террористические атаки различается как в явной, так и в неявной форме, в зависимости от того, рассматривается ли война как война, преступление или болезнь.",3,Sheet1,-2.9516451358795166,-0.02758546855962165,-10.125,-8.65625,-7.640625,-6.328125,-5.349609375,-4.924479007720947,-4.193536758422852,-3.8880207538604736,-3.3709018230438232,-2.950429916381836,-1.1484375,-0.8131510615348816,-0.5899658203125,-0.3644205629825592,-0.1971435546875,-0.1320529580116272,-0.0205078125,0.02351888082921505,0.1203264519572258,0.22003173828125
"Джорджа обвинили в убийстве известного преступника. Жертва была найдена застреленной в своей машине. Единственным свидетелем убийства был домашний попугай жертвы, который кружил над телом и снова и снова повторял: «Джордж, не надо… Джордж, не надо». Чтобы доказать личность убийцы, обвинение представило свидетеля, который заявил, что примерно в то время, когда произошло убийство, он находился в этом районе и слышал, как попугай жертвы звал Джорджа по имени. Главное возражение против этих показаний заключается в том, что они…", профессиональное_право, ['слухи'. 'не имеет отношения к делу'. 'мнение'. 'предвзятое мнение'.],1,Sheet1,-2.4153788089752197,-0.005656624845375222,-8.961538314819336,-7.137731552124023,-6.032011985778809,-5.1963067054748535,-4.50305700302124,-3.973132610321045,-3.4582417011260986,-3.028444528579712,-2.6882433891296387,-2.415722370147705,-1.8353365659713745,-1.1678240299224854,-0.8105632662773132,-0.5944402813911438,-0.45310908555984497,-0.35123947262763977,-0.25936761498451233,-0.16675136983394623,-0.06844501942396164,0.03972150385379791
Могут ли страны использовать свое внутреннее законодательство в качестве предлога для нарушения своих обязательств в соответствии с международным правом?, международное право, ['Внутреннее право всегда имеет приоритет над международным правом' 'Только обычное международное право имеет приоритет над внутренним правом' 'Обязательства по международному праву имеют приоритет над внутренним правом' 'Конституционные обязательства всегда имеют приоритет над обязательствами по международному праву'],2,Sheet1,-2.032197952270508,-0.01202483995426336,-7.65625,-5.931250095367432,-5.0546875,-4.568749904632568,-3.893629789352417,-3.33056640625,-3.0154080390930176,-2.606654644012451,-2.2847087383270264,-2.0313823223114014,-0.81640625,-0.380859375,-0.213958740234375,-0.1524658203125,-0.07919546216726303,-0.0130157470703125,0.02901204489171505,0.087181456387043,0.1607564240694046,0.25472909212112427
"30-летняя нерожавшая женщина обратилась в клинику с жалобами на перепады настроения. Она сообщила, что в течение последних нескольких месяцев испытывает тревогу, гиперактивность и бессонницу за 3-4 дня до начала менструации. Также она отметила, что в день начала менструации у нее возникает острая депрессия, анорексия, раздражительность и вялость. Психиатрических заболеваний в анамнезе нет. Результаты физического осмотра в норме. Она и ее муж пытаются зачать ребенка более 2 лет. В анамнезе отмечается проведенная около года назад тубопластика для коррекции закупорки маточной трубы. Наиболее вероятный диагноз:", профессиональная_медицина," ['расстройство адаптации с депрессивным настроением' 'биполярное расстройство I типа, смешанное' 'циклотимическая личность' 'генерализованное тревожное расстройство']",0,Sheet1,-2.171125650405884,-0.004081063252642639,-8.158333778381348,-6.789583206176758,-5.66508150100708,-4.797643661499023,-4.076602935791016,-3.5287024974823,-3.0961594581604004,-2.7158520221710205,-2.422821521759033,-2.1714155673980713,-2.340104103088379,-1.4910807609558105,-0.9915400147438049,-0.7333824038505554,-0.5524997711181641,-0.4119342267513275,-0.29637759923934937,-0.19065596163272858,-0.09908217191696167,0.006483994424343109
" Под каким углом к горизонтали следует запускать идеальный снаряд, чтобы его горизонтальное перемещение (дальность полета) было равно его максимальному вертикальному перемещению?", физика в старшей школе, ['sin–1 (1/г)' 'cos–1 (1/г)' '45°' 'tan–1 4'],3,Sheet1,-1.7960997819900513,-0.009708647470216493,-7.078125,-5.544921875,-4.760416507720947,-4.06787109375,-3.509570360183716,-3.02783203125,-2.6196463108062744,-2.29766845703125,-2.044267416000366,-1.7957842350006104,-1.1220703125,-0.717437744140625,-0.4517618715763092,-0.3100738525390625,-0.21817627549171448,-0.1458842009305954,-0.0854230597615242,-0.02964019775390625,0.0334404855966568,0.13768935203552246
 Вирулентность полиовируса наиболее легко повышается за счет какого из следующих процессов?, вирусология, ['Мутация РНК-генома всего в нескольких позициях' 'Рекомбинация с другим энтеровирусом' 'Изменение его белковой оболочки' 'Множественные делеции и замены нуклеотидов'],0,Sheet1,-3.0467848777770996,-0.024973646539156555,-7.625,-7.302083492279053,-6.481249809265137,-5.964285850524902,-5.40625,-5.171875,-4.4501953125,-3.893833637237549,-3.421539306640625,-3.045811891555786,-1.4921875,-1.0598958730697632,-0.840624988079071,-0.6858258843421936,-0.5593804121017456,-0.4962158203125,-0.37103271484375,-0.2509242594242096,-0.1299591064453125,-0.0241563580930233
 Правовой основой для эскалации участия Соединенных Штатов во Вьетнамской войне стало следующее:, разнообразный," ['объявление войны Конгрессом' 'принятие Конгрессом резолюции по Тонкинскому заливу' 'резолюция Организации Объединенных Наций, осуждающая вторжение Северного Вьетнама в Южный Вьетнам' 'положения о взаимной обороне Организации Североатлантического договора (НАТО)']",1,Sheet1,-2.6494433879852295,-0.021195547103881836,-8.96875,-7.5625,-6.919642925262451,-6.004687309265137,-5.068509578704834,-4.543229103088379,-3.8092989921569824,-3.436450242996216,-2.9917922019958496,-2.6474854946136475,-1.26953125,-1.0546875,-0.8987165093421936,-0.688916027545929,-0.5069485902786255,-0.42138671875,-0.3180067241191864,-0.2566162049770355,-0.17533542215824127,-0.06000225245952606
"15-летний подросток, выглядящий старше своих лет, купил автомобиль у частного продавца. Подросток внес первоначальный взнос в размере 2000 долларов и согласился выплатить оставшиеся 4000 долларов в рассрочку в течение следующих двух лет. Автомобиль был необходим ему для работы, так как у него не было других средств к существованию. Позже подросток попал в аварию на этом автомобиле. Он отказался от договора, вернул поврежденный автомобиль и потребовал вернуть свой первоначальный взнос. Имеет ли продавец право на получение какой-либо компенсации в этом деле?", профессиональное_право," «Нет, продавец обязан вернуть задаток, поскольку несовершеннолетний заявил о своем несогласии с договором». «Продавец не может оставить задаток себе и не может получить никакой другой выгоды от сделки». «Продавец может подать в суд на несовершеннолетнего за введение в заблуждение и мошенничество, выразившееся в сокрытии его возраста до покупки автомобиля». «В рамках иска о возмещении ущерба продавец может получить только разумную стоимость использования автомобиля».",3,Sheet1,-1.9523087739944458,-0.004234943110617019,-7.528846263885498,-5.992476940155029,-5.027058124542236,-4.323153495788574,-3.7381680011749268,-3.2425448894500732,-2.7952678203582764,-2.4478304386138916,-2.173121929168701,-1.9528454542160034,-1.5600961446762085,-1.0044126510620117,-0.6704957485198975,-0.48358210921287537,-0.35867929458618164,-0.2683146297931671,-0.18444664776325226,-0.10674577206373215,-0.03252460062503815,0.05099465325474739
" Когда кислород становится недоступным, этот процесс восстанавливает НАД+, позволяя дыханию продолжаться.", биология для старшей школы, ['Гликолиз' 'Хемиосмос' 'Барменование' 'Цикл Кальвина'],2,Sheet1,-3.9254555702209473,-0.028240687555546384,-11.78125,-10.28125,-9.182291984558105,-7.9609375,-6.935937404632568,-6.097005367279053,-5.4363837242126465,-4.8642578125,-4.36219596862793,-3.9302124977111816,-2.59765625,-2.02734375,-1.74609375,-1.510009765625,-1.2878906726837158,-1.0431314706802368,-0.8405413031578064,-0.6695556640625,-0.5009765625,-0.3592773377895355
" Международная торговля почти всегда выгодна обеим странам, так почему же страны пытаются защитить свои фирмы от влияния мирового рынка?", внешняя политика США," ['Иррациональность со стороны руководства', 'Издержки свободной торговли сосредоточены в одной стране, а выгоды распределены между разными странами', 'Тип режима', 'Международные конфликты препятствуют торговле']",1,Sheet1,-3.1436219215393066,-0.019647637009620668,-8.875,-7.518750190734863,-6.816964149475098,-5.956250190734863,-5.52734375,-4.870312690734863,-4.456341743469238,-3.9102540016174316,-3.5679819583892822,-3.143444776535034,-4.78125,-2.5015625953674316,-1.9174107313156128,-1.3283202648162842,-1.072998046875,-0.7919921875,-0.6443589329719543,-0.47172850370407104,-0.37060546875,-0.2223828136920929
" Утверждение 1 | Классификация CIFAR-10 с помощью сверточных нейронных сетей может превышать 95%. Утверждение 2 | Ансамбли нейронных сетей не улучшают точность классификации, поскольку изучаемые ими представления сильно коррелированы.", машинное обучение," ['Истина, Истина' 'Ложь, Ложь' 'Истина, Ложь' 'Ложь, Истина']",2,Sheet1,-2.5992016792297363,-0.010785069208422142,-9.9375,-8.263020515441895,-7.088541507720947,-6.040364742279053,-4.978956699371338,-4.296875,-3.7360782623291016,-3.2850990295410156,-2.927687168121338,-2.5974209308624268,-2.2161457538604736,-1.6832681894302368,-1.2892794609069824,-0.9659373164176941,-0.7318902611732483,-0.5876168012619019,-0.46310922503471375,-0.35486337542533875,-0.25436124205589294,-0.13661833107471466
 Почему пациенту может потребоваться трахеостомия?, клинические_знания, ['Для восстановления голосовых связок после паралича'. 'Для облегчения глотания'. 'В качестве вспомогательного средства при отлучении пациентов от аппарата искусственной вентиляции легких'. 'Перед операцией на шее'.],2,Sheet1,-2.8173742294311523,-0.034358222310136,-10.4375,-9.625,-7.96875,-6.9609375,-5.391927242279053,-4.74609375,-4.22216796875,-3.757269859313965,-3.3818252086639404,-2.818384885787964,-1.09375,-1.017578125,-0.8411458134651184,-0.625457763671875,-0.40142822265625,-0.3342459499835968,-0.2691497802734375,-0.2062581330537796,-0.12000732123851776,0.02955118753015995
"Один бейсбольный болельщик купил два билета на бейсбольный матч Мировой серии. Он связался со своим лучшим другом и пригласил его на игру. Друг, будучи ярым поклонником бейсбола, с радостью согласился. Болельщик сказал другу, что игра начинается в 19:00, и что он заберет его примерно в 17:00, чтобы они могли приехать пораньше и посмотреть разминку перед игрой. Они ехали на игру вместе, когда болельщик резко ускорился, чтобы пересечь перекресток, когда светофор переключался с желтого на красный. Подъезжая к перекрестку, он ехал со скоростью 80 км/ч, хотя разрешенная скорость составляла 40 км/ч. В это же время на перекресток въехала машина на красный свет и столкнулась с автомобилем болельщика. В результате столкновения друг получил перелом таза. В данной юрисдикции принят следующий «модифицированный» закон о сравнительной вине: «Истец, допустивший небрежность, имеет право на возмещение ущерба при условии, что небрежность истца не равна или не превышает небрежность ответчика; в противном случае возмещение ущерба не допускается». Предположим, друг подает иск против водителя автомобиля, въехавшего на перекресток на красный свет, с целью взыскания компенсации за причиненный ему ущерб. Присяжные вынесли специальный вердикт со следующими выводами: (1) Пострадавший на 55 процентов допустил небрежность, превысив скорость; (2) Водитель допустил небрежность на 45 процентов, проехав на красный свет; и (3) Друг понес ущерб в размере 100 000 долларов. В результате суд должен вынести решение в пользу друга на сумму...",профессиональное_право," ['100 000,00' '55 000,00' '45 000,00' 'ничего, потому что вентилятор был более небрежен, чем водитель.']",0,Sheet1,-1.9587973356246948,-0.0018834589765622065,-7.6155524253845215,-6.222701072692871,-5.250596523284912,-4.4230804443359375,-3.7583653926849365,-3.2206289768218994,-2.7906689643859863,-2.448213577270508,-2.1767730712890625,-1.9586949348449707,-2.2456395626068115,-1.4539556503295898,-0.9900307655334473,-0.7287712693214417,-0.5582852363586426,-0.430124968290329,-0.3187086880207062,-0.2213369458913803,-0.1285349428653717,-0.027721500024199486
 Наилучшее определение городской территории — это...,география для старшей школы, ['Центральный город и его застроенные районы.' 'Центральный город и его окрестности.' 'Центральный город и его окрестности.' 'Центральный город и прилегающие районы.'],1,Sheet1,-4.162650108337402,-0.04840290823648142,-9.625,-9.625,-8.078125,-7.354166507720947,-6.75,-6.368750095367432,-5.802083492279053,-5.2488837242126465,-4.6552734375,-4.16026496887207,-1.0390625,-1.0390625,-0.9296875,-0.677734375,-0.539794921875,-0.4085937440395355,-0.2890625,-0.1858258992433548,-0.103271484375,-0.02105034701526165
" Акцент на проблемах, целевая аудитория, выходящая за рамки акционеров, и добровольный характер ___________ отличают его от _________.", деловая_этика,"['Финансовый учет, Инициативы в области экологического менеджмента' 'Финансовый учет, Социальный учет' 'Социальный учет, Финансовый учет' 'Публикация годового отчета, Социальный учет']",2,Sheet1,-3.5936598777770996,-0.024446665835218366,-10.291666984558105,-9.401041984558105,-8.57986068725586,-7.671875,-6.3837890625,-5.667352199554443,-5.079900741577148,-4.555234432220459,-4.099330425262451,-3.5924065113067627,-2.4505207538604736,-1.98828125,-1.5569661855697632,-1.1619161367416382,-0.8402175903320312,-0.6618074178695679,-0.5106589794158936,-0.38437989354133606,-0.258514404296875,-0.09314346313476562
"Какова работа, необходимая для зарядки конденсатора емкостью 10 мкФ до разности потенциалов 100 В?", физика в старшей школе," ['0,005 Дж' '0,01 Дж' '0,05 Дж' '0,1 Дж']",2,Sheet1,-1.292502522468567,-0.009791685776277021,-5.5625,-4.536458492279053,-3.664930582046509,-2.9280598163604736,-2.4546875953674316,-2.115234375,-1.836681604385376,-1.6125692129135132,-1.4356530904769897,-1.292192816734314,-0.90625,-0.69140625,-0.4518229067325592,-0.3070882260799408,-0.20634765923023224,-0.1255154013633728,-0.0462937131524086,0.01711018942296505,0.08508753031492233,0.16017252206802368
 Какой из следующих вариантов завершает следующее утверждение? «Правый предсердно-желудочковый клапан…», анатомия, ['является полулунным клапаном' 'предотвращается от выворачивания папиллярными мышцами' 'открыт во время систолы' 'предотвращает возврат крови из легочного ствола при расслаблении сердца'],1,Sheet1,-3.1722116470336914,-0.022183298231004834,-9.5,-7.9765625,-6.861607074737549,-6.197916507720947,-5.458333492279053,-5.0066962242126465,-4.5478515625,-3.9469573497772217,-3.6211867332458496,-3.1700942516326904,-3.328125,-2.505859375,-1.6837332248687744,-1.3126084804534912,-0.9608154296875,-0.7568708062171936,-0.596954345703125,-0.40319180488586426,-0.2944800853729248,-0.12176513671875
