method,auroc,interpretation
loss,0.3517,no signal
zlib,0.2017,no signal
mink_0.1,0.3623,no signal
mink_0.2,0.3635,no signal
mink_0.3,0.3794,no signal
mink_0.4,0.3703,no signal
mink_0.5,0.3756,no signal
mink_0.6,0.3659,no signal
mink_0.7,0.353,no signal
mink_0.8,0.3523,no signal
mink_0.9,0.3453,no signal
mink_1.0,0.3522,no signal
minkpp_0.1,0.6475,weak signal
minkpp_0.2,0.6057,weak signal
minkpp_0.3,0.5912,weak signal
minkpp_0.4,0.5794,weak signal
minkpp_0.5,0.593,weak signal
minkpp_0.6,0.5959,weak signal
minkpp_0.7,0.5945,weak signal
minkpp_0.8,0.6088,weak signal
minkpp_0.9,0.6082,weak signal
minkpp_1.0,0.6297,weak signal
