method,auroc,interpretation
loss,0.3493,no signal
zlib,0.2144,no signal
mink_0.1,0.4095,no signal
mink_0.2,0.3777,no signal
mink_0.3,0.3749,no signal
mink_0.4,0.3608,no signal
mink_0.5,0.3681,no signal
mink_0.6,0.3593,no signal
mink_0.7,0.3466,no signal
mink_0.8,0.3475,no signal
mink_0.9,0.3422,no signal
mink_1.0,0.3494,no signal
minkpp_0.1,0.7073,moderate — possible contamination
minkpp_0.2,0.6663,moderate — possible contamination
minkpp_0.3,0.6467,weak signal
minkpp_0.4,0.6377,weak signal
minkpp_0.5,0.6459,weak signal
minkpp_0.6,0.6496,weak signal
minkpp_0.7,0.6482,weak signal
minkpp_0.8,0.6533,moderate — possible contamination
minkpp_0.9,0.6549,moderate — possible contamination
minkpp_1.0,0.6667,moderate — possible contamination
