question,choice_A,choice_B,choice_C,choice_D,answer,category,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
Which of the following is not an application layer protocol?, resource reservation protocol, None of the other choices, media gateway protocol, session initiation protocol,A,,val,-2.080376386642456,-0.03355445784907187,-9.75,-6.53125,-5.145833492279053,-4.33984375,-3.7953124046325684,-3.3958332538604736,-2.9503347873687744,-2.59710693359375,-2.311957359313965,-2.0823121070861816,-7.3125,-3.72021484375,-2.4770915508270264,-1.829620361328125,-1.4342041015625,-1.1434122323989868,-0.9326346516609192,-0.7550201416015625,-0.5743408203125,-0.37706297636032104
What are examples of current limiting reactors?, any of the above., oil immersed magnetically shielded, oil immersed non-magnetically shielded," air cooled, air cored",A,,val,-4.726080894470215,-0.08592874353582208,-8.4375,-8.4375,-8.28125,-8.28125,-7.833333492279053,-7.5625,-7.5625,-6.396874904632568,-5.51953125,-4.732138633728027,-3.1875,-3.1875,-2.234375,-2.234375,-1.5885416269302368,-1.247314453125,-1.247314453125,-0.982714831829071,-0.7427571415901184,-0.5456891655921936
What is the homomorphism of a regular set?, Non regular set, None of the other choices, Regular set, Null set,B,,val,-3.33286714553833,-0.06943473219871521,-9.625,-7.65625,-6.9375,-6.0234375,-5.428124904632568,-5.0234375,-4.609375,-4.140625,-3.703233480453491,-3.333688259124756,-1.5625,-1.009765625,-0.822265625,-0.660400390625,-0.522387683391571,-0.41986083984375,-0.3040771484375,-0.2167510986328125,-0.1394992470741272,-0.05133056640625
Which of the following hormones is not produced by the human placenta?, Human chorionic gonadotropin, Estrogen, Prolactin, Progesterone,C,,val,-1.6446706056594849,-0.02316437472759838,-7.875,-5.5390625,-4.71875,-3.6812500953674316,-3.3372395038604736,-2.9681918621063232,-2.3654513359069824,-2.134960889816284,-1.9436701536178589,-1.6458364725112915,-1.3125,-0.6370849609375,-0.3895670473575592,-0.18305663764476776,-0.1278076171875,-0.074951171875,0.0263400599360466,0.07292480766773224,0.113525390625,0.26703351736068726
Why is shrinkage allowance provided on the pattern in any casting process?, The temperature of metal drops from its pouring temperature to room temperature, The temperature of solid phase drops from its freezing temperature to room temperature, The temperature of the liquid metal drops from the pouring to its freezing temperature, The metal changes from the liquid to the solid state at its freezing temperature,B,,val,-3.1669981479644775,-0.04398608538839552,-11.8125,-10.59375,-9.010416984558105,-6.800000190734863,-5.971354007720947,-5.301339149475098,-4.381076335906982,-4.047656059265137,-3.7086293697357178,-3.166954517364502,-3.640625,-2.875,-2.2994792461395264,-1.6687500476837158,-1.3408203125,-1.0968191623687744,-0.7302517294883728,-0.5853515863418579,-0.45436790585517883,-0.23662860691547394
Which of these structures is located on the dorsal side of a male cockroach?, Anus, Male genital pore, Gonapophysis, Foreleg,A,,val,-2.1338770389556885,-0.0309257541877636,-5.5625,-4.979166507720947,-4.6484375,-3.953125,-3.7299106121063232,-3.2578125,-3.077343702316284,-2.6448566913604736,-2.452073335647583,-2.1348938941955566,-3.34375,-1.3304036855697632,-1.048583984375,-0.709228515625,-0.59423828125,-0.40478515625,-0.33012694120407104,-0.1750081330537796,-0.08852914720773697,0.0935872420668602
Which of the following models is commonly utilized in the macroscopic approach?, Mesoscopic Simulation Models, Macroscopic Simulation Models, Travel Demand Models, Greenshields model,D,,val,-2.832902431488037,-0.037275031993263645,-8.9375,-8.5,-7.375,-5.556250095367432,-4.9453125,-4.4921875,-3.827256917953491,-3.56640625,-3.34375,-2.8328857421875,-2.375,-1.87890625,-1.6901041269302368,-1.228515625,-1.0061849355697632,-0.8412388563156128,-0.5966796875,-0.45927733182907104,-0.3308771252632141,-0.051006611436605453
"In a zone-based firewall setup, how is traffic managed between interfaces that belong to the same zone?", Traffic between interfaces in the same zone is always blocked., None of the other choices, Traffic between two interfaces in the same zone is allowed by default., Traffic between interfaces in the same zone is blocked unless you apply a service policy to the zone pair.,C,,val,-2.3725709915161133,-0.026361899905734593,-10.3125,-6.65625,-5.599999904632568,-4.7120537757873535,-4.138020992279053,-3.6988637447357178,-3.321514368057251,-2.9559895992279053,-2.644876003265381,-2.3711965084075928,-1.4765625,-1.234375,-1.05078125,-0.873046875,-0.6467827558517456,-0.4617142975330353,-0.3229229152202606,-0.21450194716453552,-0.1182645931839943,-0.0005525287706404924
What was the primary point of contention between the Congress and the Muslim League regarding the Cabinet Mission Plan?," The Congress felt that the grouping of the provinces was optional, while the League was of the view that it was compulsory.", The provinces be given the right to modify the union constitution., The interim government be not formed till it was acceptable to the League, The League felt that the basis of Pakistan was implied in the grouping of provinces.,A,,val,-1.8557775020599365,-0.018374034673860756,-9.3125,-7.197916507720947,-5.462500095367432,-4.433035850524902,-3.6731770038604736,-3.110440254211426,-2.672250509262085,-2.337109327316284,-2.0713322162628174,-1.85693359375,-2.46875,-0.8494465947151184,-0.4522460997104645,-0.2705775797367096,-0.1355794221162796,-0.038840554654598236,0.038799580186605453,0.1180013045668602,0.19143497943878174,0.30409643054008484
"Adler, in contrast to Jung, believed that psychological health was connected to ______.", the abilities to love and work, None of the other choices, compensation for feelings of inferiority, differentiation of the self,C,,val,-2.7091269493103027,-0.033038133528174425,-6.15625,-5.760416507720947,-5.4140625,-4.973958492279053,-4.5625,-4.22743034362793,-3.7336647510528564,-3.529296875,-3.070033550262451,-2.707550048828125,-1.328125,-1.1627603769302368,-0.97412109375,-0.7613932490348816,-0.487060546875,-0.3904079794883728,-0.24485085904598236,-0.1720377653837204,-0.0489676333963871,0.0726318359375
What is taxonomy based on chromosomal number and characteristics called?, Cytotaxonomy, Chemotaxonomy, Serotaxonomy, Molecular taxonomy,A,,val,-3.9760513305664062,-0.05600072296572403,-13.5,-12.65625,-10.510416984558105,-8.8984375,-7.837500095367432,-6.841145992279053,-6.078125,-5.42578125,-4.83984375,-3.9728782176971436,-7.125,-5.359375,-4.713541507720947,-3.60205078125,-2.840625047683716,-2.3310546875,-1.9649832248687744,-1.6856689453125,-1.4588758945465088,-1.091352939605713
A compact object with __________ could indicate the presence of a black hole in a binary system.," a hot, x-ray emitting accretion disk.", zero mass and no emitted light., repeated nova bursts., None of the other choices,A,,val,-2.7509171962738037,-0.032749014241354804,-13.5,-9.729166984558105,-8.131250381469727,-6.518973350524902,-5.290364742279053,-4.811327934265137,-4.066731929779053,-3.5249722003936768,-3.096832275390625,-2.752739906311035,-6.46875,-3.4296875,-2.41015625,-1.7127336263656616,-1.2689751386642456,-1.10809326171875,-0.8561909794807434,-0.6697039008140564,-0.5225143432617188,-0.3937106728553772
