question,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
 Как взаимосвязь между стохастической изменчивостью пополнения грунтовых вод и нелинейной динамикой ненасыщенного потока влияет на формирующиеся законы масштабирования спектра речного стока в влажных и засушливых водосборных бассейнах?,-2.3573553562164307,-0.009822313984235128,-10.787500381469727,-9.196022987365723,-7.204963207244873,-5.7292799949646,-4.719558238983154,-3.9529855251312256,-3.3892674446105957,-2.959383010864258,-2.624358654022217,-2.3574745655059814,-2.2874999046325684,-1.6754261255264282,-1.2480899095535278,-0.917445957660675,-0.7194087505340576,-0.5757411122322083,-0.45887866616249084,-0.35525187849998474,-0.25551965832710266,-0.14180949330329895
 Как взаимодействие эпигенетического наследования с колеблющимися селективными давлениями влияет на скорость и направление адаптивной фенотипической диверсификации в быстро меняющихся микросредах обитания на протяжении нескольких поколений?,-1.9842381477355957,-0.008267658948898315,-8.931249618530273,-7.318749904632568,-5.728515625,-4.812128067016602,-3.8961949348449707,-3.328826904296875,-2.892432928085327,-2.491863250732422,-2.2322940826416016,-1.984261393547058,-4.784375190734863,-3.1781249046325684,-2.100994110107422,-1.596790075302124,-1.234130859375,-1.0217437744140625,-0.8484612703323364,-0.6849677562713623,-0.5688984990119934,-0.4418131411075592
" Каковы механистические последствия включения явной поляризуемости растворителя и квантово-выведенных путей переноса заряда в гибридные QM/MM-моделирования молекулярной динамики для прогнозирования частоты каталитического оборота металлоферментов, подвергающихся крупномасштабной конформационной модификации?",-1.9258443117141724,-0.0063142436449645,-8.41796875,-6.76953125,-5.605000019073486,-4.640861511230469,-3.793201208114624,-3.2233593463897705,-2.786823034286499,-2.41363263130188,-2.1561784744262695,-1.925159215927124,-2.48046875,-1.5855712890625,-1.0401110649108887,-0.7843119502067566,-0.6083366870880127,-0.49698424339294434,-0.39881792664527893,-0.29679620265960693,-0.21138793230056763,-0.10977717489004135
"Учитывая нелинейные обратные связи между выбросами углерода из арктической вечной мерзлоты, скоростью окисления метана и радиационным воздействием атмосферы, как можно откалибровать интегрированные модели земной системы для прогнозирования пороговой температуры, при которой оттаивание вечной мерзлоты ускоряет глобальное потепление более чем на 2 °C?",-1.6304446458816528,-0.005016752756558932,-7.142361164093018,-5.973958492279053,-4.711226940155029,-3.8525390625,-3.2362847328186035,-2.7376301288604736,-2.3535077571868896,-2.0603976249694824,-1.8314646482467651,-1.6302047967910767,-2.0295138359069824,-1.3676215410232544,-0.9322667717933655,-0.6931965947151184,-0.5439507365226746,-0.4314914345741272,-0.336274653673172,-0.2517869770526886,-0.1675075888633728,-0.0564662404358387
" Как взаимодействие эпигенетического наследования с колеблющимися селективными давлениями влияет на скорость закрепления адаптивных признаков в популяциях, размножающихся половым путем и периодически испытывающих экстремальные условия окружающей среды?",-1.9722912311553955,-0.0076742849461299435,-9.087499618530273,-7.4375,-5.855208396911621,-4.744726657867432,-3.914921760559082,-3.321549415588379,-2.869168519973755,-2.5143485069274902,-2.235149383544922,-1.9721907377243042,-3.840625047683716,-2.561718702316284,-1.7660481929779053,-1.3188354969024658,-1.0461719036102295,-0.8461588621139526,-0.6820312738418579,-0.546337902545929,-0.42608505487442017,-0.29116880893707275
" Каковы механизмы, посредством которых гетерогенная химия поверхности аэрозолей модулирует гетерогенные скорости образования зародышей льда в условиях смешанной облачности, и как эти механизмы влияют на радиационное воздействие на атмосферу?",-2.068826198577881,-0.00851368805999128,-7.244791507720947,-6.169270992279053,-5.267361164093018,-4.523763179779053,-3.892057180404663,-3.373046875,-2.9447078704833984,-2.5862419605255127,-2.2991700172424316,-2.0692529678344727,-1.6959635019302368,-1.1722005605697632,-0.8726128339767456,-0.6575495600700378,-0.516876220703125,-0.4113752543926239,-0.3140331506729126,-0.22591018676757812,-0.13367941975593567,-0.03561096265912056
" Каким образом эпигенетические модификации, вставки транспозабельных элементов и трехмерная архитектура хроматина совместно эволюционируют для модуляции генных регуляторных сетей во время быстрых адаптивных радиаций в полиплоидных линиях позвоночных?",-2.2177090644836426,-0.008696898292092716,-9.572916984558105,-7.580729007720947,-6.203125,-5.24609375,-4.332913398742676,-3.6919076442718506,-3.1904070377349854,-2.8042564392089844,-2.499467372894287,-2.2172694206237793,-3.99609375,-2.7877604961395264,-2.114691734313965,-1.6138406991958618,-1.2407580614089966,-1.0234408378601074,-0.8542678952217102,-0.7150654792785645,-0.5923140048980713,-0.4481969177722931
Как можно интегрировать мультиомиксные данные о временных возмущениях со стохастическими дифференциальными уравнениями для вывода причинно-следственной динамики регуляторных сетей и прогнозирования возникающих фенотипических бифуркаций при различных стрессовых факторах окружающей среды?,-2.0726466178894043,-0.007455563373702893,-8.361607551574707,-7.035714149475098,-6.028273582458496,-5.162388324737549,-4.188951015472412,-3.500697612762451,-3.0023393630981445,-2.627185821533203,-2.3352763652801514,-2.0721466541290283,-3.669642925262451,-2.7371652126312256,-2.044875383377075,-1.5393922328948975,-1.2285422086715698,-1.0185739994049072,-0.8630635738372803,-0.7367131114006042,-0.6246756911277771,-0.5021054744720459
 Каким образом взаимодействие между разнообразием функциональных признаков растений и модульностью микробной сети почвы влияет на устойчивость экосистемы к одновременной засухе и выпадению азота в умеренных луговых экосистемах?,-2.3278934955596924,-0.010255037425373094,-8.875,-7.418749809265137,-6.289583206176758,-5.365624904632568,-4.456730842590332,-3.8670613765716553,-3.3560383319854736,-2.9501447677612305,-2.629646062850952,-2.3262252807617188,-2.2437500953674316,-1.616796851158142,-1.2694010734558105,-0.9777297973632812,-0.747702956199646,-0.613677978515625,-0.500178873538971,-0.3896864056587219,-0.28635770082473755,-0.14687111973762512
 Каким образом взаимодействие между эпигенетическими паттернами метилирования ДНК и трехмерным петлеобразованием хроматина влияет на аллель-специфическую экспрессию импринтированных генов на ранних стадиях эмбриогенеза у млекопитающих?,-1.4157110452651978,-0.005825971379692172,-8.3125,-6.1886162757873535,-4.53311014175415,-3.508091449737549,-2.8238072395324707,-2.356666088104248,-2.0207936763763428,-1.7681944370269775,-1.5717284679412842,-1.414555549621582,-3.7700893878936768,-2.206974506378174,-1.468738317489624,-1.0971548557281494,-0.8703089952468872,-0.7114751935005188,-0.5911117792129517,-0.4857809841632843,-0.390634685754776,-0.28176096081733704
