dataset,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
controlled_dataset_english,-2.383284,-0.013841,-8.426536,-6.924263,-5.908406,-5.081273,-4.408508,-3.871531,-3.404644,-3.005411,-2.680213,-2.383232,-3.410771,-2.312407,-1.72664,-1.313172,-1.028929,-0.831194,-0.668697,-0.529749,-0.408018,-0.274157
controlled_dataset_russian,-1.984302,-0.007345,-8.636302,-6.966195,-5.700509,-4.69819,-3.906599,-3.322029,-2.858906,-2.499812,-2.222012,-1.983988,-2.934758,-1.930387,-1.370976,-1.023168,-0.801686,-0.653616,-0.532699,-0.424555,-0.324803,-0.208897
controlled_dataset_kazakh,-1.854842,-0.006671,-8.054352,-6.380627,-5.248409,-4.347989,-3.62641,-3.083252,-2.658781,-2.328248,-2.070334,-1.854587,-3.128735,-2.01301,-1.413305,-1.049315,-0.818274,-0.659195,-0.529901,-0.418555,-0.318258,-0.207364
mmlu_all,-2.645386,-0.031752,-8.860668,-7.303636,-6.287924,-5.451839,-4.742991,-4.254071,-3.784519,-3.359919,-3.029255,-2.645271,-2.668719,-1.822024,-1.378048,-1.034849,-0.782951,-0.624355,-0.467347,-0.337557,-0.229593,-0.089357
mmlu_pro_all,-2.028193,-0.020204,-8.038738,-6.292709,-5.176776,-4.436164,-3.765406,-3.293811,-2.924498,-2.574215,-2.297514,-2.028138,-2.991394,-1.909336,-1.335383,-1.003054,-0.748685,-0.582525,-0.450943,-0.328249,-0.224032,-0.098356
mmlu_cf_all,-2.854896,-0.039708,-9.623474,-8.161829,-7.022561,-6.006703,-5.190479,-4.630898,-4.100786,-3.639742,-3.268346,-2.855526,-3.017586,-2.144509,-1.623992,-1.236985,-0.950646,-0.769596,-0.60918,-0.467435,-0.348171,-0.188481
mmlu_redux_all,-2.830594,-0.040492,-9.092208,-7.823007,-6.809489,-5.84697,-5.062607,-4.540275,-4.06521,-3.62555,-3.248727,-2.830169,-2.630633,-2.035748,-1.637045,-1.196784,-0.909312,-0.737254,-0.579005,-0.443426,-0.319963,-0.16701
rummlu_all,-2.411906,-0.017047,-8.93011,-7.24608,-6.110236,-5.210706,-4.499984,-3.954939,-3.461519,-3.052592,-2.729962,-2.41149,-2.747247,-1.84829,-1.329713,-0.994088,-0.76869,-0.620702,-0.489474,-0.373325,-0.270723,-0.146652
MMLU_RUS_Translation,-2.371025,-0.016939,-8.567808,-7.176586,-6.12718,-5.265747,-4.488853,-3.899922,-3.440139,-3.012408,-2.687964,-2.370759,-2.268056,-1.554786,-1.111552,-0.838005,-0.642634,-0.50519,-0.399695,-0.291121,-0.196918,-0.078629
kazmmlu_all,-2.590532,-0.028268,-8.822131,-7.302536,-6.260458,-5.471501,-4.749896,-4.210047,-3.736388,-3.287174,-2.956946,-2.590504,-2.835318,-1.960134,-1.445239,-1.097969,-0.853534,-0.692844,-0.554364,-0.427458,-0.323891,-0.184123
MMLU_KAZ_Translation,-1.963953,-0.015021,-7.911528,-6.201942,-5.156031,-4.359365,-3.707793,-3.22258,-2.809397,-2.476803,-2.210862,-1.963932,-2.557938,-1.622718,-1.132594,-0.838994,-0.640363,-0.503361,-0.386061,-0.285232,-0.191305,-0.082752
