question,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
How does the coupling between stochastic groundwater recharge variability and non-linear unsaturated flow dynamics influence emergent scaling laws of river discharge spectra across humid and arid catchments?,-3.2251477241516113,-0.02193978043640552,-9.645833015441895,-8.770833015441895,-7.5,-6.630208492279053,-5.779296875,-5.083059310913086,-4.5539774894714355,-4.102656364440918,-3.68487548828125,-3.2249908447265625,-3.2291667461395264,-2.4700520038604736,-1.9548611640930176,-1.5851236581802368,-1.21026611328125,-0.9988049864768982,-0.8246515393257141,-0.6738964915275574,-0.5365425944328308,-0.37438201904296875
How does epigenetic inheritance interact with fluctuating selective pressures to shape the rate and direction of adaptive phenotypic diversification in rapidly changing microhabitats across multiple generations?,-2.674165964126587,-0.018316205233743745,-9.25,-8.098958015441895,-6.793749809265137,-5.820913314819336,-4.919577121734619,-4.376562595367432,-3.9021739959716797,-3.3687245845794678,-3.0328848361968994,-2.676074743270874,-5.75,-3.7604167461395264,-2.8046875,-2.266124963760376,-1.726783275604248,-1.4534835815429688,-1.229888916015625,-0.9950934648513794,-0.8429148197174072,-0.6587300300598145
What are the mechanistic implications of incorporating explicit solvent polarizability and quantum‑derived charge transfer pathways into hybrid QM/MM molecular dynamics simulations for predicting catalytic turnover frequencies of metalloenzymes that undergo large‑scale conformational gating?,-2.4732155799865723,-0.011947901352592136,-8.34375,-6.701388835906982,-5.7254462242126465,-5.153645992279053,-4.487771511077881,-3.988002300262451,-3.5992431640625,-3.133049964904785,-2.765869140625,-2.471958875656128,-3.0,-2.159722328186035,-1.5365513563156128,-1.2195366621017456,-0.9488525390625,-0.7569536566734314,-0.6335868835449219,-0.5034674406051636,-0.374055415391922,-0.2414265125989914
"Considering the nonlinear feedbacks between Arctic permafrost carbon release, methane oxidation rates, and atmospheric radiative forcing, how can integrated Earth system models be calibrated to predict the threshold temperature at which permafrost thaw accelerates global warming beyond 2 °C?",-2.10434627532959,-0.010417555818463316,-7.349999904632568,-6.081250190734863,-5.141666889190674,-4.455468654632568,-3.919374942779541,-3.4354166984558105,-3.0264508724212646,-2.6784911155700684,-2.384575843811035,-2.1040375232696533,-1.8937499523162842,-1.3214843273162842,-0.9688150882720947,-0.7259002923965454,-0.5746899247169495,-0.4409851133823395,-0.3288242816925049,-0.229908749461174,-0.13205431401729584,-0.017100615426898003
How does epigenetic inheritance interact with fluctuating selective pressures to shape the rate of adaptive trait fixation in sexually reproducing populations experiencing periodic environmental extremes?,-2.8492014408111572,-0.020064798878951812,-8.875,-7.556250095367432,-6.90234375,-6.279829502105713,-5.4151787757873535,-4.687959671020508,-4.059960842132568,-3.57235050201416,-3.177865743637085,-2.8499207496643066,-4.0859375,-3.015625,-2.455078125,-1.9641474485397339,-1.5242156982421875,-1.2088210582733154,-0.9732986688613892,-0.790385365486145,-0.6385650634765625,-0.5015206336975098
"What are the mechanistic pathways by which heterogeneous aerosol surface chemistry modulates heterogeneous ice nucleation rates under mixed-phase cloud conditions, and how do these pathways feedback on atmospheric radiative forcing?",-2.389940023422241,-0.01503106932969963,-10.958333015441895,-8.053571701049805,-6.436079502105713,-5.5379462242126465,-4.587673664093018,-3.8787286281585693,-3.4731249809265137,-3.0417563915252686,-2.6801276206970215,-2.3903841972351074,-3.4895832538604736,-2.2779018878936768,-1.6590576171875,-1.2959420680999756,-0.9797837734222412,-0.7590276598930359,-0.6138818264007568,-0.4560673236846924,-0.3244369924068451,-0.20564228296279907
"In what ways do epigenetic modifications, transposable element insertions, and three‑dimensional chromatin architecture co‑evolve to modulate gene regulatory networks during rapid adaptive radiations in polyploid vertebrate lineages?",-2.157388210296631,-0.01269051888409783,-7.875,-6.545138835906982,-5.620192527770996,-4.736111164093018,-4.08967399597168,-3.6061198711395264,-3.084564208984375,-2.753675699234009,-2.419924736022949,-2.1568894386291504,-3.8046875,-2.671006917953491,-2.118088960647583,-1.5991185903549194,-1.24858558177948,-1.0553815364837646,-0.8621425628662109,-0.7294023036956787,-0.5886215567588806,-0.45330944657325745
How can multi-omics time‑resolved perturbation data be integrated with stochastic differential equation models to infer causal regulatory network dynamics and predict emergent phenotypic bifurcations under varying environmental stressors?,-2.6872143745422363,-0.01571470394469144,-9.28125,-7.71484375,-6.5078125,-5.498046875,-4.735547065734863,-4.196614742279053,-3.74609375,-3.33807373046875,-2.9845614433288574,-2.686105251312256,-4.43359375,-3.482421875,-2.7272136211395264,-2.140766143798828,-1.7026885747909546,-1.3643823862075806,-1.1050872802734375,-0.8946857452392578,-0.7063004970550537,-0.5398696660995483
How does the interplay between plant functional trait diversity and soil microbial network modularity influence ecosystem resilience to simultaneous drought and nitrogen deposition across temperate grasslands?,-2.5454859733581543,-0.017199229549717258,-8.333333015441895,-6.963541507720947,-5.972222328186035,-5.040364742279053,-4.379166603088379,-3.866319417953491,-3.467261791229248,-3.1360676288604736,-2.82666015625,-2.5465006828308105,-2.671875,-1.8795572519302368,-1.3961045742034912,-1.0476226806640625,-0.7949991822242737,-0.5941399335861206,-0.433927983045578,-0.29765573143959045,-0.18038149178028107,-0.07367146760225296
How does the interplay between epigenetic DNA methylation patterns and three-dimensional chromatin looping influence allele-specific expression of imprinted genes during early embryogenesis in mammals?,-1.8615132570266724,-0.012577792277207246,-7.25,-6.625,-5.253472328186035,-4.095552921295166,-3.529296875,-3.0964226722717285,-2.6407947540283203,-2.354867696762085,-2.1164886951446533,-1.860883355140686,-2.4114582538604736,-1.9361978769302368,-1.4175347089767456,-0.9865534901618958,-0.780181884765625,-0.6239463686943054,-0.45225459337234497,-0.339599609375,-0.24089102447032928,-0.11249703913927078
