method,auroc,interpretation
loss,0.4967,no signal
zlib,0.2857,no signal
mink_0.1,0.5674,weak signal
mink_0.2,0.5982,weak signal
mink_0.3,0.5785,weak signal
mink_0.4,0.5505,weak signal
mink_0.5,0.5229,no signal
mink_0.6,0.503,no signal
mink_0.7,0.4959,no signal
mink_0.8,0.492,no signal
mink_0.9,0.4919,no signal
mink_1.0,0.4968,no signal
minkpp_0.1,0.7211,moderate — possible contamination
minkpp_0.2,0.7243,moderate — possible contamination
minkpp_0.3,0.7107,moderate — possible contamination
minkpp_0.4,0.7103,moderate — possible contamination
minkpp_0.5,0.724,moderate — possible contamination
minkpp_0.6,0.7309,moderate — possible contamination
minkpp_0.7,0.7405,moderate — possible contamination
minkpp_0.8,0.7542,strong — likely contamination
minkpp_0.9,0.7587,strong — likely contamination
minkpp_1.0,0.7758,strong — likely contamination
