question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
6807,"Which of the following statements concerning transamination is correct?
",Transaminases require a coenzyme derived from vitamin C.,Transamination is an irreversible reaction in amino acid catabolism.,Only non-essential (dispensable) amino acids undergo transamination.,Transaminases require a coenzyme derived from vitamin B12.,Transamination is a process by which proteins are synthesized.,Transamination is involved in the creation of essential amino acids only.,Transaminases require a coenzyme derived from vitamin D.,Transaminases require a coenzyme derived from vitamin B6.,Transamination does not involve enzymes.,Transamination only occurs in the liver.,H,7,health,ori_mmlu-nutrition,,test,-1.965300440788269,-0.02848261508388796,-7.0625,-5.71875,-4.9375,-4.140625,-3.635937452316284,-3.29296875,-3.002232074737549,-2.688232421875,-2.3962674140930176,-1.9647883176803589,-1.7421875,-1.125,-0.7621256709098816,-0.54522705078125,-0.406494140625,-0.2996826171875,-0.2164132297039032,-0.118560791015625,-0.0398491770029068,0.16554953157901764
629, The train operator understands customer desire for a comfortable seat but fails to specify how many should be provided relative to the anticipated number of travellers on each route. This is an example of:,GAP 5-the gap between perceived service and expected service.,GAP1-the gap between the customer's expectations and management perception.,GAP 10-the gap between management perception and customer satisfaction.,GAP 7-the gap between customer expectations and perceived service.,GAP 8-the gap between service delivery and customer satisfaction.,GAP 4-the gap between service delivery and external communications.,GAP 6-the gap between service design and service standards.,GAP 9-the gap between customer perception and service expectation.,GAP 2-the gap between management perception and service-quality specification.,GAP 3-the gap between service-quality specifications and service delivery.,I,8,business,ori_mmlu-marketing,,test,-3.499290704727173,-0.02348517251494747,-9.083333015441895,-8.232142448425293,-7.715624809265137,-6.8683037757873535,-6.1875,-5.435267925262451,-4.944986820220947,-4.349330425262451,-3.948667526245117,-3.4989371299743652,-2.515625,-2.0122768878936768,-1.66796875,-1.3461216688156128,-1.1054400205612183,-0.8610723614692688,-0.70794677734375,-0.5306396484375,-0.41477128863334656,-0.2640206515789032
8567,A store has 3 boxes of shirts. Each box has 4 packages with 7 shirts in each package. The expression 3 × (4 × 7) can be used to find the total number of shirts. Which expression can also be used to find the total number of shirts?,14 × 3,21 × 4,12 × 7,7 × 12,14 × 4,4 × 21,12 × 3,28 × 4,28 × 7,21 × 3,C,2,math,ori_mmlu-elementary_mathematics,,test,-1.1230032444000244,-0.007853169541258913,-6.0625,-4.447443008422852,-3.374540328979492,-2.7162024974823,-2.2135977745056152,-1.8993422985076904,-1.621490478515625,-1.4136724472045898,-1.2516027688980103,-1.1223949193954468,-2.2093749046325684,-1.1649502515792847,-0.7310575842857361,-0.51393723487854,-0.37460431456565857,-0.29090791940689087,-0.21199341118335724,-0.14052416384220123,-0.06680532544851303,0.0057036299258470535
9510,A solid has a volume of 2.5 liters when the external pressure is 1 atm. The bulk modulus of the material is 2 × 10^12 dynes/cm^2. What is the change in volume when the body is subjected to a pressure of 16atm? What additional energy per unit volume is now stored in the material?,"19 x 10^-3 cm³, 68 ergs/cm³","25 x 10^-3 cm³, 80 ergs/cm³","30 x 10^-3 cm³, 85 ergs/cm³","18.99 x 10^-3 cm3, 65.4 ergs/cm^3","20 x 10^-3 cm3, 70 ergs/cm^3","12 x 10^-3 cm³, 50 ergs/cm³","22 x 10^-3 cm3, 75 ergs/cm^3","14 x 10^-3 cm³, 58 ergs/cm³","17 x 10^-3 cm³, 55 ergs/cm³","15 x 10^-3 cm3, 60 ergs/cm^3",D,3,physics,stemez-Physics,,test,-1.652794599533081,-0.008653374866665346,-6.964285850524902,-5.363541603088379,-4.5227274894714355,-3.7440104484558105,-3.1963682174682617,-2.7009549140930176,-2.361966609954834,-2.060620069503784,-1.8492048978805542,-1.6522668600082397,-3.8761160373687744,-2.4591145515441895,-1.8004482984542847,-1.3183084726333618,-1.0512546300888062,-0.8219170570373535,-0.6674041748046875,-0.5246409177780151,-0.41642284393310547,-0.2916918992996216
12214,"Consider a lap-wound armature 4 feet in diameter, having 12 poles. The winding consists of 240 coils of 4 turns each and the length of the pole face is 10 inches. Sixty percent of the conductors lie under the pole face where the flux density is 60,000 lines per square inch, and 15 percent lie in the pole fringe where the average density is 35,000 lines per square inch. What horsepower is the motor developing if the current flowing into the armature is 480 amperes and the machine is rotating at 200r.p.m. ?",175,180,240,250,220,200,230,196.5,205.7,213.4,J,9,engineering,stemez-ElectricalMachines,,test,-1.647989273071289,-0.005702385027928336,-7.14182710647583,-5.235532283782959,-4.278201103210449,-3.600426197052002,-3.0935235023498535,-2.713200330734253,-2.3497211933135986,-2.063076972961426,-1.8334940671920776,-1.6476566791534424,-2.957331657409668,-1.98046875,-1.3918278217315674,-1.0343893766403198,-0.800959050655365,-0.6408103108406067,-0.5024979710578918,-0.3897510766983032,-0.2877044677734375,-0.18076004087924957
6550,"A 49-year-old man, who is recovering in the hospital 2 days after uncomplicated left femoral-popliteal bypass grafting for claudication, has now developed increasing pain in his left foot. Until now, the patient's postoperative course had been unremarkable and he has been treated with low-dose morphine for pain control. Medical history is remarkable for type 2 diabetes mellitus controlled with metformin and diet. Vital signs now are temperature 36.8°C (98.2°F), pulse 80/min and regular, respirations 20/min, and blood pressure 150/92 mm Hg. The surgical incision appears clean and well approximated without abnormal erythema or swelling. The left lower extremity and foot appear pale. Palpation of the left lower extremity discloses a strong femoral pulse, a weak popliteal pulse, and a cool, pulseless foot. Which of the following is the most appropriate management?",Intraoperative angiography,Intravenous heparin therapy,Immediate surgical exploration,Initiate antibiotic therapy,Computed Tomography (CT) of the lower extremity,Intra-arterial tissue plasminogen activator (tPA) therapy,Doppler ultrasonography of the left lower extremity,Magnetic Resonance Imaging (MRI) of the left lower extremity,Bedside compartment pressure measurements,Pain management and observation,C,2,health,ori_mmlu-professional_medicine,,test,-1.5481905937194824,-0.0030416318147730497,-6.504687309265137,-4.922636985778809,-4.028604030609131,-3.3753764629364014,-2.904371976852417,-2.5344631671905518,-2.2061219215393066,-1.9383544921875,-1.722004771232605,-1.548148512840271,-2.407031297683716,-1.5256288051605225,-1.059098720550537,-0.7814978361129761,-0.6004034280776978,-0.46498993039131165,-0.3450064957141876,-0.24474398791790009,-0.1525869071483612,-0.052539825439453125
3409,Explain the mechanism of the genetic determination of sex in humans.,The presence of two X chromosomes in the absence of a Y chromosome has no impact on the sex of an individual.,The number of autosomes determines the sex of an individual.,"The sex of an individual is determined by the number of X chromosomes, irrespective of the Y chromosome.",The combination of two Y chromosomes determines that an individual will be female.,The presence of an X chromosome and an additional chromosome other than Y determines that an individual will be male.,Environmental factors determine the genetic sex of an individual.,The presence of the X chromosome determines that an individual will be male.,The presence of the Y chromosome determines that an individual will be male.,The process of meiosis determines the sex of an individual.,The total number of chromosomes in an individual dictates their sex.,H,7,biology,stemez-Genetics,,test,-2.1700427532196045,-0.031449894974197166,-8.4375,-7.84375,-6.317708492279053,-5.1796875,-3.92578125,-3.521205425262451,-3.162109375,-2.863715171813965,-2.5931639671325684,-2.1673583984375,-2.203125,-1.20068359375,-0.8557942509651184,-0.647003173828125,-0.36737060546875,-0.2621547281742096,-0.1744537353515625,-0.0877956822514534,-0.01651611365377903,0.159088134765625
801,"Assume that the following charges (flat rates) are made on $500 for a year and that the loan in each case is to be repaid in 12 equal monthly installments: (a) 3% , (b) 5%. What is the monthly payment and the true annual interest rate that the borrower is paying in each case? (Record interest rate correct to the nearest tenth of 1%.)",Monthly payments: $43.92 at 3% and $42.75 at 5%; True annual interest rates: 5.2% at 3% and 9.5% at 5%,Monthly payments: $42.92 at 3% and $43.75 at 5%; True annual interest rates: 5.5% at 3% and 9.2% at 5%,Monthly payments: $41.67 at 3% and $44.17 at 5%; True annual interest rates: 6.8% at 3% and 10.9% at 5%,Monthly payments: $42.50 at 3% and $43.33 at 5%; True annual interest rates: 4.8% at 3% and 8.7% at 5%,Monthly payments: $41.92 at 3% and $44.75 at 5%; True annual interest rates: 6.5% at 3% and 10.2% at 5%,Monthly payments: $41.25 at 3% and $45.42 at 5%; True annual interest rates: 3.8% at 3% and 7.9% at 5%,Monthly payments: $45.00 at 3% and $40.00 at 5%; True annual interest rates: 7.5% at 3% and 12.0% at 5%,Monthly payments: $43.75 at 3% and $42.92 at 5%; True annual interest rates: 5.0% at 3% and 8.5% at 5%,Monthly payments: $44.17 at 3% and $41.67 at 5%; True annual interest rates: 6.2% at 3% and 11.1% at 5%,Monthly payments: $42.92 at 3% and $43.75 at 5%; True annual interest rates: 4.5% at 3% and 8.2% at 5%,B,1,business,stemez-Business,,test,-1.9822633266448975,-0.00935029871058914,-7.8515625,-6.018382549285889,-4.92067289352417,-4.259880542755127,-3.6602470874786377,-3.174729585647583,-2.820768117904663,-2.4880831241607666,-2.2094507217407227,-1.9815982580184937,-2.32421875,-1.519416332244873,-1.0392807722091675,-0.7753421664237976,-0.5718185305595398,-0.41697928309440613,-0.3023976683616638,-0.19451019167900085,-0.09789804369211197,-0.0018780587706714869
8599,"The numbers $x$ and $y$ are inversely proportional. When the sum of $x$ and $y$ is 42, $x$ is twice $y$. What is the value of $y$ when $x=-8$?",-28,-56,-40,-7,40,-49,49,-14,56,14,F,5,math,ori_mmlu-high_school_mathematics,,test,-1.132291555404663,-0.009932382064953185,-6.012499809265137,-4.34375,-3.4281249046325684,-2.7685546875,-2.215632438659668,-1.8822927474975586,-1.6296793222427368,-1.4343172311782837,-1.2790899276733398,-1.131502628326416,-3.65234375,-2.090893507003784,-1.3825805187225342,-1.0178314447402954,-0.7491995096206665,-0.5933306217193604,-0.4688771665096283,-0.3654889464378357,-0.27430129051208496,-0.1721883863210678
724,A desk valued at $125 can be purchased on the installment plan with a down payment of $16.25 and 16 monthly payments of $7.50. Calculate the interest rate involved.,16.3%,17.8%,19.9%,14.6%,11.7%,13.5%,15.2%,20.6%,18.5%,12.4%,D,3,business,stemez-Business,,test,-1.6992106437683105,-0.013485798760065957,-8.71875,-6.04296875,-4.531850814819336,-3.816636085510254,-3.1859018802642822,-2.806490421295166,-2.4672200679779053,-2.1294503211975098,-1.9157339334487915,-1.6994420289993286,-2.3984375,-1.8271484375,-1.2352200746536255,-0.9218893647193909,-0.6686900854110718,-0.526564359664917,-0.4111084043979645,-0.2963518500328064,-0.20375725626945496,-0.08703058212995529
