question,предмет,выбор,отвечать,sheet,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
" Если психолог выступает одновременно свидетелем со стороны истца и экспертом в суде в уголовном процессе, то она совершила следующие действия:", профессиональная_психология," [«неэтично, принимая на себя двойную роль». «этично, если у нее не было предварительных отношений с истцом». «этично, если она уточнит свои роли со всеми сторонами». «этично, если она получит разрешение суда».]",2,Sheet1,-2.8723032474517822,-0.017303031611155314,-8.177083015441895,-7.213541507720947,-6.607638835906982,-5.841145992279053,-5.224999904632568,-4.595486164093018,-4.046131134033203,-3.5852458477020264,-3.1911439895629883,-2.872288942337036,-3.046875,-2.1861979961395264,-1.671875,-1.3253580331802368,-1.0601277351379395,-0.8660244345664978,-0.7151954174041748,-0.5691553950309753,-0.4345906674861908,-0.29972535371780396
 Каким образом точка зрения на терроризм влияет на ответные меры правительства?, исследования безопасности,"['В рамках концепции «рецепта болезни» пакеты реформ становятся частью ответных мер правительства, направленных на снижение привлекательности террористической группы среди населения. Однако реформы могут поощрять террористов к продолжению насильственной деятельности, поскольку они получают за это вознаграждение. В этих условиях реформы могут стать уступками, подпитывающими насилие, а не механизмом его прекращения. Также ясно, что реформы могут не устранить присутствие терроризма.' 'Современные меры реагирования на терроризм принимаются в контексте аналогии с войной против террора, в которой преобладают нормы возмездия и наказания. В этом взгляде подразумевается оправдание превентивных действий, предпринимаемых против учебных центров, штаб-квартир, источников финансирования и даже убийства ключевых лиц.' 'Хотя аналогия с войной предполагает сдерживание, сдерживание более важно для системы правосудия. В обычном уголовном контексте степень превентивных мер, доступных в данном случае, ограничивается задержанием подозреваемых или судебным преследованием.' 'Все эти варианты.' Реакция на террористические атаки различается как в явной, так и в неявной форме, в зависимости от того, рассматривается ли война как война, преступление или болезнь.",3,Sheet1,-2.9241573810577393,-0.027328573654745225,-10.0625,-8.84375,-7.8203125,-6.3984375,-5.3916015625,-4.970486164093018,-4.219105243682861,-3.8866374492645264,-3.340916156768799,-2.924274444580078,-1.6015625,-1.0735677480697632,-0.859619140625,-0.5487467646598816,-0.364501953125,-0.2864583432674408,-0.1640625,-0.1140950545668602,0.01018415205180645,0.1490478515625
"Джорджа обвинили в убийстве известного преступника. Жертва была найдена застреленной в своей машине. Единственным свидетелем убийства был домашний попугай жертвы, который кружил над телом и снова и снова повторял: «Джордж, не надо… Джордж, не надо». Чтобы доказать личность убийцы, обвинение представило свидетеля, который заявил, что примерно в то время, когда произошло убийство, он находился в этом районе и слышал, как попугай жертвы звал Джорджа по имени. Главное возражение против этих показаний заключается в том, что они…", профессиональное_право, ['слухи'. 'не имеет отношения к делу'. 'мнение'. 'предвзятое мнение'.],1,Sheet1,-1.9602508544921875,-0.00459075141567257,-8.49759578704834,-6.845486164093018,-5.526676654815674,-4.525284290313721,-3.792402744293213,-3.2721750736236572,-2.8138225078582764,-2.4580190181732178,-2.1806888580322266,-1.959459662437439,-2.003605842590332,-1.3396990299224854,-0.8990158438682556,-0.6600880026817322,-0.50794917345047,-0.3994814157485962,-0.29456233978271484,-0.19981051981449127,-0.11103402078151703,-0.013775590807199478
Могут ли страны использовать свое внутреннее законодательство в качестве предлога для нарушения своих обязательств в соответствии с международным правом?, международное право, ['Внутреннее право всегда имеет приоритет над международным правом' 'Только обычное международное право имеет приоритет над внутренним правом' 'Обязательства по международному праву имеют приоритет над внутренним правом' 'Конституционные обязательства всегда имеют приоритет над обязательствами по международному праву'],2,Sheet1,-1.8322547674179077,-0.01084174418590478,-7.28125,-5.525000095367432,-4.7109375,-4.28125,-3.623497486114502,-3.0556640625,-2.736328125,-2.3550851345062256,-2.0623157024383545,-1.8331694602966309,-1.154296875,-0.827343761920929,-0.61639404296875,-0.501678466796875,-0.3799344599246979,-0.2890739440917969,-0.2392679899930954,-0.1632806658744812,-0.08631134033203125,0.010373716242611408
"30-летняя нерожавшая женщина обратилась в клинику с жалобами на перепады настроения. Она сообщила, что в течение последних нескольких месяцев испытывает тревогу, гиперактивность и бессонницу за 3-4 дня до начала менструации. Также она отметила, что в день начала менструации у нее возникает острая депрессия, анорексия, раздражительность и вялость. Психиатрических заболеваний в анамнезе нет. Результаты физического осмотра в норме. Она и ее муж пытаются зачать ребенка более 2 лет. В анамнезе отмечается проведенная около года назад тубопластика для коррекции закупорки маточной трубы. Наиболее вероятный диагноз:", профессиональная_медицина," ['расстройство адаптации с депрессивным настроением' 'биполярное расстройство I типа, смешанное' 'циклотимическая личность' 'генерализованное тревожное расстройство']",0,Sheet1,-1.8796566724777222,-0.0035331892339806807,-7.712500095367432,-6.3729166984558105,-5.17391300201416,-4.278048038482666,-3.5783278942108154,-3.07670259475708,-2.6879379749298096,-2.3525569438934326,-2.0975749492645264,-1.8796449899673462,-2.6265625953674316,-1.6833984851837158,-1.108508586883545,-0.8258606791496277,-0.6279558539390564,-0.4786118268966675,-0.3561355769634247,-0.24986551702022552,-0.15938535332679749,-0.05247477814555168
" Под каким углом к горизонтали следует запускать идеальный снаряд, чтобы его горизонтальное перемещение (дальность полета) было равно его максимальному вертикальному перемещению?", физика в старшей школе, ['sin–1 (1/г)' 'cos–1 (1/г)' '45°' 'tan–1 4'],3,Sheet1,-1.4822546243667603,-0.008012187158739244,-7.04296875,-5.09375,-4.13671875,-3.4482421875,-2.9281249046325684,-2.5100505352020264,-2.1650826930999756,-1.8968563079833984,-1.6860945224761963,-1.4804731607437134,-1.5546875,-0.94793701171875,-0.6285197138786316,-0.4620361328125,-0.3587890565395355,-0.2780354917049408,-0.2079380601644516,-0.1358642578125,-0.0602756068110466,0.05635480210185051
 Вирулентность полиовируса наиболее легко повышается за счет какого из следующих процессов?, вирусология, ['Мутация РНК-генома всего в нескольких позициях' 'Рекомбинация с другим энтеровирусом' 'Изменение его белковой оболочки' 'Множественные делеции и замены нуклеотидов'],0,Sheet1,-3.1632165908813477,-0.025928004843289734,-9.25,-8.46875,-7.606249809265137,-6.473214149475098,-5.597222328186035,-5.251562595367432,-4.655599117279053,-4.0408759117126465,-3.55889892578125,-3.166447877883911,-2.890625,-1.75,-1.2820312976837158,-0.9898158311843872,-0.7484266757965088,-0.654248058795929,-0.4949137270450592,-0.3628278374671936,-0.257415771484375,-0.1583930104970932
 Правовой основой для эскалации участия Соединенных Штатов во Вьетнамской войне стало следующее:, разнообразный," ['объявление войны Конгрессом' 'принятие Конгрессом резолюции по Тонкинскому заливу' 'резолюция Организации Объединенных Наций, осуждающая вторжение Северного Вьетнама в Южный Вьетнам' 'положения о взаимной обороне Организации Североатлантического договора (НАТО)']",1,Sheet1,-2.0531835556030273,-0.016425468444824218,-8.125,-6.099999904632568,-5.3526787757873535,-4.596875190734863,-3.927283763885498,-3.5104167461395264,-2.957655191421509,-2.66534423828125,-2.3193771839141846,-2.0517566204071045,-1.48828125,-0.9691406488418579,-0.7041974663734436,-0.48688966035842896,-0.3590839207172394,-0.2973388731479645,-0.2225545197725296,-0.169830322265625,-0.07617717981338501,0.04814734682440758
"15-летний подросток, выглядящий старше своих лет, купил автомобиль у частного продавца. Подросток внес первоначальный взнос в размере 2000 долларов и согласился выплатить оставшиеся 4000 долларов в рассрочку в течение следующих двух лет. Автомобиль был необходим ему для работы, так как у него не было других средств к существованию. Позже подросток попал в аварию на этом автомобиле. Он отказался от договора, вернул поврежденный автомобиль и потребовал вернуть свой первоначальный взнос. Имеет ли продавец право на получение какой-либо компенсации в этом деле?", профессиональное_право," «Нет, продавец обязан вернуть задаток, поскольку несовершеннолетний заявил о своем несогласии с договором». «Продавец не может оставить задаток себе и не может получить никакой другой выгоды от сделки». «Продавец может подать в суд на несовершеннолетнего за введение в заблуждение и мошенничество, выразившееся в сокрытии его возраста до покупки автомобиля». «В рамках иска о возмещении ущерба продавец может получить только разумную стоимость использования автомобиля».",3,Sheet1,-1.7420375347137451,-0.003778823285713113,-6.98557710647583,-5.577546119689941,-4.613185882568359,-3.919886350631714,-3.3489582538604736,-2.9006526470184326,-2.499659299850464,-2.1861684322357178,-1.9396566152572632,-1.742879867553711,-2.301081657409668,-1.3804253339767456,-0.9299688339233398,-0.6862415671348572,-0.5301973819732666,-0.4209177792072296,-0.3197898864746094,-0.2342740148305893,-0.15346699953079224,-0.06203737109899521
" Когда кислород становится недоступным, этот процесс восстанавливает НАД+, позволяя дыханию продолжаться.", биология для старшей школы, ['Гликолиз' 'Хемиосмос' 'Барменование' 'Цикл Кальвина'],2,Sheet1,-2.566973924636841,-0.018467438306739862,-9.125,-7.65625,-6.552083492279053,-5.5234375,-4.720312595367432,-4.0947265625,-3.588169574737549,-3.186767578125,-2.8508028984069824,-2.5661118030548096,-1.53515625,-1.133544921875,-0.7573445439338684,-0.5542755126953125,-0.3961547911167145,-0.2674662172794342,-0.1695469468832016,-0.07047271728515625,0.0256822369992733,0.11608276516199112
