subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,error_type,correct_answer,potential_reason,source,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
electrical_engineering,"By using which of the following elements, mechanical translational systems are obtained?",mass element,spring element,dash-pot,all of the above,3,D,ok,,,,-3.91825270652771,-0.0483734902040458,-11.375,-10.9375,-8.5390625,-7.856249809265137,-6.950892925262451,-6.3046875,-5.799479007720947,-4.931818008422852,-4.56201171875,-3.9152047634124756,-2.71875,-2.3046875,-1.431640625,-1.213281273841858,-0.8788365125656128,-0.76556396484375,-0.6687282919883728,-0.49502840638160706,-0.40625,-0.228515625
college_computer_science,A starvation-free job-scheduling policy guarantees that no job waits indefinitely for service. Which of the following job-scheduling policies is starvation-free?,Round-robin,Priority queuing,Shortest job first,Youngest job first,0,A,ok,,,https://cgi.csc.liv.ac.uk/~trp/Teaching_Resources/COMP204/204-Lecture12.pdf,-2.5091874599456787,-0.02220519876058123,-11.1875,-8.100000381469727,-6.767578125,-5.9296875,-4.888822078704834,-4.14892578125,-3.7238497734069824,-3.2186105251312256,-2.8225860595703125,-2.5095417499542236,-2.359375,-1.5578124523162842,-1.152099609375,-0.913037121295929,-0.681227445602417,-0.521209716796875,-0.4297688901424408,-0.3108026385307312,-0.1900838166475296,-0.0757921040058136
philosophy,Philo says the analogy that Cleanthes uses to make his case is _____.,too complicated,weak,strong,not based on a legitimate method of reasoning,1,B,ok,,,https://global.oup.com/us/companion.websites/9780190207038/stu_res/ch2/lev1/mcq/,-4.131265640258789,-0.05987341507621433,-13.3125,-10.354166984558105,-9.3984375,-7.708333492279053,-7.169642925262451,-6.22569465637207,-5.789843559265137,-5.024739742279053,-4.728966236114502,-4.130566596984863,-2.8125,-1.828125,-1.60546875,-1.3430989980697632,-1.2421875,-0.9197048544883728,-0.8021484613418579,-0.58349609375,-0.4950420558452606,-0.33320313692092896
electrical_engineering,"The moving coil-meters, damping is provided by",the aluminium frame of the coil.,the coil spring attached to the moving.,eddy current disk.,damping vane in the airtight chamber.,0,A,ok,,,,-5.644073963165283,-0.11288147926330566,-10.875,-10.875,-10.15625,-9.833333015441895,-9.1875,-8.300000190734863,-7.5625,-6.877232074737549,-6.3359375,-5.64735221862793,-3.734375,-3.734375,-3.2421875,-2.6875,-2.306640625,-1.8671875,-1.4967447519302368,-1.2282365560531616,-1.026611328125,-0.7953559160232544
high_school_mathematics,The quadratic $2x^2+5x+12=19-7x$ has two solutions. What is the positive difference between these solutions?,2,\sqrt{2},5\sqrt{2},5,2,C,ok,,,,-1.7669953107833862,-0.017155294279450353,-6.135416507720947,-5.020833492279053,-4.286458492279053,-3.7747395038604736,-3.1630859375,-2.7976973056793213,-2.5188210010528564,-2.242070198059082,-2.01220703125,-1.7656478881835938,-2.2526042461395264,-1.6510416269302368,-1.2339409589767456,-0.9404805302619934,-0.6554336547851562,-0.5089753866195679,-0.39358243346214294,-0.2952587902545929,-0.208099365234375,-0.10274124145507812
college_medicine,The blood glucose concentration during 80-90 minutes of intermittent high intensity exercise:,frequently rises by 1 - 3 mM.,remains relatively unchanged.,frequently falls by 1 - 3 mM.,falls to hypoglycaemic levels.,0,A,ok,,,https://global.oup.com/uk/orc/biosciences/biochem/gleeson2e/01student/mcqs/ch06/,-3.350130796432495,-0.038955009260842964,-8.9375,-7.135416507720947,-6.268750190734863,-6.005208492279053,-5.478515625,-4.993750095367432,-4.713068008422852,-4.215144157409668,-3.7638020515441895,-3.3463637828826904,-1.1484375,-1.0989583730697632,-0.9898437261581421,-0.955078125,-0.838134765625,-0.7039550542831421,-0.6241565942764282,-0.48095703125,-0.3560221493244171,-0.24865004420280457
elementary_mathematics,The schedule for a music showcase includes 3 sets that are 20 minutes each and 1 set that is 40 minutes. There is a 10-minute break between each set. The total length of the music showcase is 3(20 + 10) + 40 minutes. What is the total length of the music showcase?,73 minutes,110 minutes,130 minutes,210 minutes,2,C,ok,2,,,-1.3405482769012451,-0.008877803158286391,-7.0714287757873535,-4.8582587242126465,-3.808407783508301,-3.063173532485962,-2.578504800796509,-2.2145256996154785,-1.8995864391326904,-1.6809755563735962,-1.5040714740753174,-1.3401974439620972,-1.8219865560531616,-1.0025198459625244,-0.6520124077796936,-0.4322762191295624,-0.308563232421875,-0.21636253595352173,-0.1249401643872261,-0.05641963705420494,0.008550555445253849,0.08638063073158264
formal_logic,"Identify the conclusion of the following argument. Remember to remove any conclusion indicators. It is wrong for society to kill a murderer. This follows for the reason that if a murderer is wrong in killing his victim, then society is also wrong in killing the murderer. And a murderer is wrong in killing his victim.",It is wrong for society to kill a murderer.,"This follows for the reason that if a murderer is wrong in killing his victim, then society is also wrong in killing the murderer.","If a murderer is wrong in killing his victim, then society is also wrong in killing the murderer.",And a murderer is wrong in killing his victim.,0,A,ok,,,Expert,-2.117422580718994,-0.012679177130053856,-7.307291507720947,-6.169270992279053,-5.35243034362793,-4.632161617279053,-4.008593559265137,-3.4677734375,-3.0259487628936768,-2.6737568378448486,-2.3870081901550293,-2.115851640701294,-1.7916666269302368,-1.2994791269302368,-0.9783528447151184,-0.7276509404182434,-0.5455647706985474,-0.4084676206111908,-0.2966831624507904,-0.1976674348115921,-0.10980450361967087,-0.009793641045689583
high_school_microeconomics,Which of the following is a characteristic of monopolistic competition?,Economically efficient in the long run.,Pricing at minimum ATC in long run.,Excess capacity.,Very few competitors.,2,C,ok,,,https://www.crackap.com/ap/microeconomics/question-163-answer-and-explanation.html,-1.646905779838562,-0.024219202644684735,-9.625,-6.1484375,-4.734375,-3.95703125,-3.456249952316284,-2.9244792461395264,-2.5421316623687744,-2.25146484375,-2.006402015686035,-1.6458073854446411,-1.09375,-0.48876953125,-0.27734375,-0.1572265625,-0.044921875,0.03125,0.08984375,0.13427734375,0.2209201455116272,0.43430396914482117
professional_law,"A defendant was prosecuted for murder. At trial, the prosecutor called a police detective to testify. The detective, who questioned the defendant at the station house after his arrest, testified that the defendant initially declared his innocence. The detective further testified that when given the opportunity to take a lie detector test, the defendant refused. The defendant's attorney did not object to the detective's testimony. The defendant was convicted and sentenced to prison. The defendant, who is now represented by a new attorney, appeals, claiming that it was error to admit the detective's testimony. The appellate court should find","plain error, because the trial court should have acted on its own motion to order reference to the lie detector test stricken.","plain error, because admission of the detective's testimony violated the defendant's privilege against self-incrimination.","harmless error, because the defendant's trial attorney failed to preserve the argument by timely objection.","harmless error, because the defendant's statements were admissions.",0,A,ok,,,,-1.7253559827804565,-0.0055299871242963355,-6.747159004211426,-5.0339674949646,-4.182445049285889,-3.54976224899292,-3.096628189086914,-2.7088427543640137,-2.4089598655700684,-2.1343729496002197,-1.9221925735473633,-1.725459337234497,-2.1324574947357178,-1.23361074924469,-0.8195109367370605,-0.5539676547050476,-0.3865832984447479,-0.24671781063079834,-0.1458263397216797,-0.052629221230745316,0.029068438336253166,0.11771319806575775
college_physics,The rest mass of a particle with total energy 5.0 GeV and momentum 4.9 GeV/c is approximately,0.1 GeV/c^2,0.2 GeV/c^2,0.5 GeV/c^2,1.0 GeV/c^2,3,D,ok,,,2017 GRE Physics Exam (GR1777 #36),-1.6512370109558105,-0.018347077899509005,-6.640625,-4.746874809265137,-4.198660850524902,-3.577343702316284,-3.1487629413604736,-2.647656202316284,-2.3721277713775635,-2.050097703933716,-1.876265048980713,-1.6517333984375,-1.396484375,-0.944140613079071,-0.7522321343421936,-0.518688976764679,-0.4160054624080658,-0.26366373896598816,-0.1857694685459137,-0.09013061225414276,-0.03151078522205353,0.055083006620407104
medical_genetics,"Nature is more important for ______ differences, while nurture has greater influence on ______ differences.",structural and anatomical; psychological and social,psychological and social; structural and anatomical,structural and psychological; anatomical and social,social and anatomical; psychological and structural,0,A,ok,,,https://study.sagepub.com/marks6e/student-resources/chapter-3/multiple-choice-question,-3.1654086112976074,-0.03860254404021472,-12.25,-7.979166507720947,-7.046875,-5.9921875,-5.255859375,-4.980902671813965,-4.4538350105285645,-4.174479007720947,-3.600795269012451,-3.163177490234375,-3.78125,-1.9544271230697632,-1.6513671875,-1.3307291269302368,-1.008941650390625,-0.8914659023284912,-0.6764692664146423,-0.5903117060661316,-0.4461321234703064,-0.3141937255859375
