question,тақырып,таңдаулар,жауап,sheet,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
" Егер психолог қылмыстық іс бойынша сотта талапкердің куәгері де, соттың сарапшысы да ретінде әрекет етсе, ол:", кәсіби_психология, ['қос рөлдерді қабылдау арқылы этикалық емес.' 'талапкермен бұрын қарым-қатынасы болмаған жағдайда.' 'этикалық тұрғыдан барлық тараптармен өз рөлдерін түсіндірген жағдайда.' 'соттан бас тарту туралы рұқсат алған жағдайда.'],2,Sheet1,-2.0524609088897705,-0.014253200756178962,-6.8671875,-5.854166507720947,-5.197544574737549,-4.517269611358643,-3.8592121601104736,-3.4140625,-2.9508168697357178,-2.5842413902282715,-2.2895848751068115,-2.051732301712036,-1.763671875,-1.2458767890930176,-0.8010515570640564,-0.5661942362785339,-0.4072214663028717,-0.3154950737953186,-0.21916060149669647,-0.13193552196025848,-0.05409418046474457,0.0220972690731287
 Терроризмге қатысты көзқарас үкіметтің жауабына қалай әсер етеді?, қауіпсіздікті зерттеу,"[«Ауруға қарсы рецепт бойынша реформа пакеттері үкіметтің халық арасындағы террористік топтың тартымдылығын азайтуға бағытталған жауабының бір бөлігіне айналады. Дегенмен, реформалар террористерді зорлық-зомбылық әрекеттерін жалғастыруға итермелеуі мүмкін, себебі олар марапатталып жатыр. Мұндай жағдайларда реформалар зорлық-зомбылықты тоқтату механизмі емес, оны күшейтетін жеңілдіктерге айналуы мүмкін. Сондай-ақ, реформалар терроризмнің болуын жоймауы мүмкін екені анық». «Терроризмге қарсы қазіргі заманғы жауаптар кек алу және жазалау нормалары басым болатын терроризмге қарсы соғыс аналогиясы аясында қабылданды. Бұл көзқарастың жасырын бөлігі оқу орындарына, штаб-пәтерге, қаржыландыру көздеріне және тіпті маңызды тұлғаларды өлтіруге қарсы алдын ала шаралар қабылдаудың негіздемесі болып табылады». «Соғыс аналогиясы кейде тежеуді болжаса да, тежеу әділет жүйесі үшін маңыздырақ. Қалыпты қылмыстық контексте қолжетімді алдын алу шараларының көлемі күдіктілерді ұстау немесе сот қудалауы болып табылады». «Осы нұсқалардың барлығы. Егер соғыс соғыс, қылмыс немесе ауру ретінде қарастырылса, террористік шабуылдарға жауаптар ашық немесе жанама түрде өзгереді.»",3,Sheet1,-2.0235540866851807,-0.019271943682716005,-8.697916984558105,-6.765625,-5.684027671813965,-4.7890625,-3.93310546875,-3.3599917888641357,-2.9240057468414307,-2.5852930545806885,-2.3115932941436768,-2.023130416870117,-4.322916507720947,-2.6487629413604736,-1.8478732109069824,-1.37335205078125,-1.0041046142578125,-0.8135921955108643,-0.6617209911346436,-0.5379394292831421,-0.4320330023765564,-0.29148101806640625
"Джордж танымал қылмыскерді өлтірді деген айыппен айыпталды. Зардап шегуші көлігінде атып өлтірілген күйінде табылды. Атыстың жалғыз куәгері - жәбірленушінің үй жануары, ол жәбірленушінің денесінің үстінде қалықтап жүргенде «Джордж... Джордж...» деп қайталап тұрған. Зардап шегушінің өлтірушісінің кім екенін дәлелдеу үшін айыптау тарапы кісі өлтіру болған кезде сол жерде болғанын және жәбірленушінің тотысының Джордждың атын атағанын естігенін куәландыратын куәлік береді. Айғақтарға ең жақсы қарсылық - бұл...", кәсіби_құқық, ['қауесет.' 'маңызды емес.' 'пікір куәлігі.' 'өзімшіл.'],1,Sheet1,-1.915494680404663,-0.004764912140310107,-7.43070650100708,-5.882978916168213,-4.917473793029785,-4.2228617668151855,-3.6338629722595215,-3.137791633605957,-2.7235798835754395,-2.39469313621521,-2.129920244216919,-1.9155961275100708,-2.4762227535247803,-1.562001347541809,-1.06436026096344,-0.7767809629440308,-0.5877572894096375,-0.4490450918674469,-0.33124735951423645,-0.2309146225452423,-0.13928678631782532,-0.048297785222530365
Елдер халықаралық құқық бойынша міндеттемелерін бұзу үшін сылтау ретінде өздерінің ішкі заңнамасына сүйене ала ма?, халықаралық құқық, ['Ішкі құқық әрқашан халықаралық құқықтан басым болады' 'Тек дәстүрлі халықаралық құқық ішкі құқықтан басым болады' 'Халықаралық құқық бойынша міндеттемелер ішкі құқықтан басым болады' 'Конституциялық міндеттемелер әрқашан халықаралық құқық бойынша міндеттемелерден басым болады'],2,Sheet1,-1.5946440696716309,-0.011073917150497437,-6.8125,-5.495312690734863,-4.431250095367432,-3.7007813453674316,-3.02734375,-2.622290849685669,-2.2881131172180176,-2.0207161903381348,-1.8030860424041748,-1.5951873064041138,-1.0851562023162842,-0.726855456829071,-0.4746866822242737,-0.340109258890152,-0.226409912109375,-0.14377322793006897,-0.0733489990234375,-0.013289288617670536,0.048659615218639374,0.1295083910226822
"30 жастағы босанбаған әйел көңіл-күйінің өзгеруіне шағымданып клиникаға келді. Ол соңғы бірнеше ай бойы мазасызданып, шамадан тыс белсенді болып, етеккір басталғанға дейін 3-4 күн бұрын ұйықтай алмайтынын айтады. Ол сонымен қатар етеккірі басталған күні қатты депрессияға түсетінін, тәбетінің болмауын, ашушаңдығын және енжарлығын сезінетінін айтады. Оның психиатриялық тарихы жоқ. Физикалық тексеру нәтижелері қалыпты. Ол және оның күйеуі 2 жылдан астам уақыт бойы жүкті болуға тырысып келеді. Анамнезінде шамамен 1 жыл бұрын жабық жатыр түтігін түзету үшін тубопластика жасалғаны анықталды. Ең ықтимал диагноз:", кәсіби_медицина, ['депрессивті көңіл-күймен бейімделу бұзылысы' 'аралас биполярлық I бұзылыс' 'циклотимиялық тұлға' 'жалпыланған мазасыздық бұзылысы'],0,Sheet1,-1.5391732454299927,-0.002909590256011328,-6.5613837242126465,-5.097587585449219,-4.138172149658203,-3.4663515090942383,-2.9443564414978027,-2.518145799636841,-2.1938867568969727,-1.9259209632873535,-1.7114201784133911,-1.5387604236602783,-1.6485769748687744,-1.0656695365905762,-0.7058950066566467,-0.5132023096084595,-0.3784431517124176,-0.2733079791069031,-0.18833588063716888,-0.10981503874063492,-0.03609945625066757,0.0450335256755352
 Идеал снарядтың көлденең ығысуы (ұшу қашықтығы) оның ең үлкен тік ығысуына тең болуы үшін оны көлденеңге қандай бұрышпен ұшыру керек?, орта мектеп_физикасы, ['sin–1 (1/г)' 'cos–1 (1/г)' '45°' 'тон-1 4'],3,Sheet1,-1.9675650596618652,-0.012532261526508695,-8.817708015441895,-6.602163314819336,-5.266406059265137,-4.484375,-3.8151042461395264,-3.2578125,-2.8559677600860596,-2.485218048095703,-2.196826696395874,-1.967307448387146,-1.7486978769302368,-1.195462703704834,-0.8254241943359375,-0.626326322555542,-0.4704756438732147,-0.3545242249965668,-0.27289217710494995,-0.18820592761039734,-0.09857279807329178,-0.003502689301967621
 Полиовирус келесі процестердің қайсысы арқылы оңайырақ вирулентті бола алады?, вирусология, ['РНҚ геномының бірнеше позицияда ғана мутациясы' 'Басқа энтеровируспен рекомбинациясы' 'Ақуыз қабығын өзгерту' 'Көптеген нуклеотидтік делециялар мен орын басулары'],0,Sheet1,-2.161116361618042,-0.01895716106682493,-8.333333015441895,-7.4375,-6.5,-5.104567527770996,-4.337158203125,-3.7170023918151855,-3.0929219722747803,-2.739304780960083,-2.4577972888946533,-2.1603522300720215,-1.8854166269302368,-1.64453125,-1.2206488847732544,-0.8353599905967712,-0.6562690734863281,-0.5290559530258179,-0.39959716796875,-0.31502825021743774,-0.23657436668872833,-0.13012880086898804
 Америка Құрама Штаттарының Вьетнам соғысына қатысуының күшеюінің құқықтық негізі болды, әртүрлі, ['Конгресстің соғыс жариялауы' 'Конгресстің Тонкин шығанағы туралы қарарын қабылдауы' 'Солтүстік Вьетнамның Оңтүстік Вьетнамға басып кіруін айыптайтын Біріккен Ұлттар Ұйымының қарары' 'Солтүстік Атлантикалық Шарт Ұйымының (НАТО) өзара қорғаныс ережелері'],1,Sheet1,-1.8103985786437988,-0.01448318862915039,-7.697916507720947,-5.765625,-4.821875095367432,-4.0234375,-3.429253578186035,-3.021763324737549,-2.5874218940734863,-2.3208181858062744,-2.0352554321289062,-1.8101907968521118,-1.7708333730697632,-1.2260044813156128,-0.8787841796875,-0.6136474609375,-0.4441324770450592,-0.3443661630153656,-0.2304394543170929,-0.1560145765542984,-0.05924224853515625,0.0367499440908432
"Өзінен үлкен көрінетін 15 жастағы кәмелетке толмаған жасөспірім жеке сатушыдан көлік сатып алды. Кәмелетке толмаған бала 2000 доллар бастапқы төлем жасап, қалған 4000 долларды келесі екі жыл ішінде бөліп төлеуге келісті. Кәмелетке толмаған бала көлікті жұмыс үшін алуға мәжбүр болды, себебі оның басқа қаражаты болмады. Кейінірек кәмелетке толмаған бала көлікті апатқа ұшыратты. Ол келісімшартты бұзып, зақымдалған көлікті қайтарып берді және алғашқы жарнасын қайтаруды талап етті. Сатушының бұл мәселе бойынша қандай да бір өтемақы алуға құқығы бар ма?", кәсіби_құқық," [«Жоқ, сатушы алғашқы жарнаны қайтаруы тиіс, себебі кәмелетке толмаған бала келісімшартты бұзғанын мәлімдеді.» «Сатушы алғашқы жарнаны сақтай алмайды және мәміледен басқа ешқандай пайда ала алмайды.» «Сатушы кәмелетке толмаған балаға көлікті сатып алмас бұрын оның жасын көрсетпегені үшін жалған ақпарат бергені және алаяқтық жасағаны үшін сотқа бере алады.» «Сатушы өтемақы талап арызында көлікті пайдаланудың тек ақылға қонымды құнын ғана ала алады.»]",3,Sheet1,-1.410850167274475,-0.003235894879069897,-5.701822757720947,-4.599935054779053,-3.8400607109069824,-3.237234115600586,-2.729839324951172,-2.338618040084839,-2.0099780559539795,-1.7655935287475586,-1.5724624395370483,-1.410718560218811,-2.392578125,-1.3958333730697632,-0.9390937089920044,-0.6799467206001282,-0.5196623802185059,-0.4025474786758423,-0.3054816722869873,-0.21827808022499084,-0.13766954839229584,-0.0525987409055233
" Оттегі қол жетімсіз болған кезде, бұл процесс NAD+ қалпына келтіреді, бұл тыныс алуды жалғастыруға мүмкіндік береді.", орта мектеп_биологиясы, ['Гликолиз' 'Хемиосмоз' 'Ашыту' 'Кальвин циклі'],2,Sheet1,-1.7705363035202026,-0.01180357535680135,-8.081250190734863,-6.162499904632568,-4.956250190734863,-4.109375,-3.545522928237915,-3.012159824371338,-2.532510280609131,-2.233593225479126,-1.9966391324996948,-1.7706044912338257,-2.8265624046325684,-1.8117187023162842,-1.2057901620864868,-0.8461071252822876,-0.6606515645980835,-0.52423095703125,-0.3951696455478668,-0.2977164089679718,-0.20736759901046753,-0.09139496088027954
