method,auroc,interpretation
loss,0.3042,no signal
zlib,0.3049,no signal
mink_0.1,0.4886,no signal
mink_0.2,0.4457,no signal
mink_0.3,0.4036,no signal
mink_0.4,0.3584,no signal
mink_0.5,0.331,no signal
mink_0.6,0.3116,no signal
mink_0.7,0.301,no signal
mink_0.8,0.2982,no signal
mink_0.9,0.2994,no signal
mink_1.0,0.3044,no signal
minkpp_0.1,0.5522,weak signal
minkpp_0.2,0.5297,no signal
minkpp_0.3,0.5259,no signal
minkpp_0.4,0.5227,no signal
minkpp_0.5,0.5349,no signal
minkpp_0.6,0.5424,no signal
minkpp_0.7,0.5589,weak signal
minkpp_0.8,0.5783,weak signal
minkpp_0.9,0.5934,weak signal
minkpp_1.0,0.6144,weak signal
