subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
professional_law,"A company incorporated and headquartered in State A sued a plumber domiciled in State B in a federal court in State A, alleging that the plumber had negligently installed pipes in a manner that resulted in $250,000 in damage to the company's headquarters building. In response to the complaint, the plumber filed a motion to dismiss for lack of personal jurisdiction. The court denied the motion. Thereafter, the plumber did not file an answer or any other response to the company's action. Sixty days after the court's order denying the motion to dismiss, the company asked the clerk to enter default, and the clerk did so. The company applied to the court for the entry of a default judgment and notified the plumber three days before the default judgment hearing. After an ex parte hearing in which the court received evidence on the damages amount, the court entered a default judgment for the full amount sought. Ten days later, the plumber filed a motion to set aside the default judgment. Is the court likely to grant the plumber's motion?","No, because the court could fix the amount of damages even without hearing the plumber's evidence.","No, because the plumber failed to plead or otherwise defend against the company's action.","Yes, because the plumber was not given adequate notice of the hearing on the company's application for the entry of a default judgment.","Yes, because the State A federal court lacked personal jurisdiction over the plumber as a State B citizen.",2,C,test,-1.6347945928573608,-0.003441672827068128,-7.045312404632568,-5.625761985778809,-4.46950626373291,-3.683546781539917,-3.105093240737915,-2.6568281650543213,-2.3124196529388428,-2.037738084793091,-1.8165569305419922,-1.6346995830535889,-2.5121092796325684,-1.7619092464447021,-1.2403534650802612,-0.9103673100471497,-0.6874148845672607,-0.5241714119911194,-0.3969922959804535,-0.2920912206172943,-0.20256367325782776,-0.10406669229269028
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I offered the babysitter extra money to stay late with me alone. Scenario 2 | I tossed the ball to my friend.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",1,B,test,-2.962294101715088,-0.014961081321793373,-8.90625,-7.882211685180664,-6.759375095367432,-5.970486164093018,-5.232536792755127,-4.721484184265137,-4.173287868499756,-3.702401638031006,-3.3011715412139893,-2.9620299339294434,-2.4010417461395264,-1.8557692766189575,-1.4060547351837158,-1.0713049173355103,-0.8358638882637024,-0.6882919073104858,-0.536474347114563,-0.39752310514450073,-0.26673662662506104,-0.13656705617904663
nutrition,"Infants and children with a suspected food allergy e.g. cow's milk allergy/intolerance could display the following symptoms and signs:
",severe atopic dermatitis,enterocolitis,diarrhoea,all of the above,3,D,test,-2.8549587726593018,-0.025265121881940723,-11.5,-8.693750381469727,-7.464285850524902,-6.017187595367432,-5.10817289352417,-4.640104293823242,-4.0078125,-3.662890672683716,-3.2189197540283203,-2.854356050491333,-4.5234375,-2.80078125,-2.064174175262451,-1.383154273033142,-0.9825345277786255,-0.7991861701011658,-0.5918782353401184,-0.46843260526657104,-0.3147715628147125,-0.16261643171310425
conceptual_physics,"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,1,B,test,-3.1728551387786865,-0.03448755585629007,-8.53125,-8.1875,-7.447916507720947,-6.765625,-5.613636493682861,-4.96875,-4.4609375,-4.017233371734619,-3.6589226722717285,-3.172250986099243,-2.671875,-2.029296875,-1.6842447519302368,-1.35205078125,-0.9769620299339294,-0.7755784392356873,-0.6082356572151184,-0.46062156558036804,-0.34141138195991516,-0.18299449980258942
nutrition,"Which of the following statements about methods of evaluating protein quality in human nutrition is correct?
","The rat protein efficiency ratio assay, (PER), is a good method of assessing protein quality for human nutrition.","The rat net protein-utilisation assay, (NPU), is the best method of assessing protein quality for human nutrition.",Animal growth assays underestimate the quality of dietary proteins for human nutrition,The growing rat is a good model for assessing protein quality in human nutrition.,2,C,test,-2.2643213272094727,-0.02408852475754758,-9.0,-7.489583492279053,-5.448437690734863,-4.869791507720947,-4.1259765625,-3.5843749046325684,-3.3586647510528564,-2.938101053237915,-2.5607097148895264,-2.2621710300445557,-1.09375,-0.7786458134651184,-0.4754882752895355,-0.3719889223575592,-0.21307373046875,-0.08237304538488388,-0.018421519547700882,0.08567457646131516,0.16539713740348816,0.29069969058036804
miscellaneous,Which of these performers made her film debut in Spike Lee's 'Dothe Right Thing'?,Jennifer Lopez,Rosie Perez,Paula Abdul,Tisha Campbell,1,B,test,-3.3636298179626465,-0.042045372724533084,-11.75,-9.020833015441895,-7.65625,-7.098958492279053,-6.328125,-5.4375,-5.036931991577148,-4.357271671295166,-3.80029296875,-3.360177516937256,-4.96875,-3.3958332538604736,-2.7734375,-2.4088542461395264,-1.823486328125,-1.403710961341858,-1.248046875,-1.001802921295166,-0.8050781488418579,-0.5724954009056091
college_chemistry,Which of the following is required for both paramagnetism and ferromagnetism?,Strong oxidizing conditions,Low-spin electron configuration,Metallic physical properties,Unpaired electrons,3,D,test,-1.80712890625,-0.025452519806338027,-9.625,-7.09375,-5.8515625,-4.450520992279053,-3.58544921875,-3.204644203186035,-2.626187324523926,-2.407986879348755,-2.0639889240264893,-1.805990219116211,-2.3125,-1.33203125,-1.0556640625,-0.7334136962890625,-0.5445976257324219,-0.4804789125919342,-0.3737654387950897,-0.33049264550209045,-0.2217559814453125,-0.04437828063964844
security_studies,What preventative security measures might a government take in defence of a potential future terrorist attack?,Prevention is normally associated with the concept of terrorism as war or crime. All governments will practice prevention (seen as repression from the terrorist perspective) by seeking to arrest or eliminate those actively involved in the violence. Security forces attack the terrorists before they strike (war) or they are arrested after the attack (crime).,"Large terrorist organizations are hard to penetrate, being highly cohesive and centralized in structure. In both the warfare and criminal model, intelligence is obtained by two methods; firstly to elicit information from captured terrorists or secondly from an informer within the group. An intelligence coup greatly enhances the prospect of stopping terrorist operations once the larger group has been compromised.","Prevention of terrorism is a highly controversial policy designed to reduce the appeal of terrorism within the population through reform packages. The method is characterized by diplomatic exchanges. However, as a preventative method it has been questioned and it is argued to resemble concessionary politics.","Prevention is conceived as securing the physical integrity of targets and key political installations, particularly weapons installations, national buildings, national or cultural symbols, or defence deployments. Protecting possible targets of the state enhances the wellbeing of more vulnerable targets. Terrorists may move to more convenient territory to target their objectives which make it more difficult to control.",0,A,test,-4.122250556945801,-0.04480707127115001,-11.0625,-10.6875,-9.7578125,-7.979166507720947,-6.9375,-6.534722328186035,-5.782670497894287,-5.380208492279053,-4.685546875,-4.124786376953125,-8.0625,-5.026041507720947,-4.34765625,-3.005126953125,-2.240631103515625,-1.9580349922180176,-1.5333141088485718,-1.3650106191635132,-1.0913259983062744,-0.8389434814453125
miscellaneous,"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,0,A,test,-2.1988046169281006,-0.028555904115949358,-8.0625,-7.5,-5.16796875,-4.640625,-3.7075893878936768,-3.3955078125,-3.1467013359069824,-2.7340199947357178,-2.5556640625,-2.1960275173187256,-1.890625,-0.978759765625,-0.4349365234375,-0.3036132752895355,-0.1021902933716774,-0.02301025390625,0.0403103306889534,0.1565607190132141,0.2112223356962204,0.3199985921382904
professional_medicine,A 42-year-old woman with a history of multiple sclerosis comes to the office because she had a sudden loss of vision in the right eye. She has no history of diplopia. External ocular movements are normal but funduscopic examination shows pallor of the optic disk. This patient's condition is most likely a result of demyelination of which of the following?,Medial longitudinal fasciculus,Oculomotor nerve,Optic nerve,Trigeminal nerve,2,C,test,-1.7575173377990723,-0.007542992866090439,-7.044642925262451,-5.390625,-4.598721504211426,-3.8226561546325684,-3.25390625,-2.8571181297302246,-2.491671562194824,-2.221402883529663,-1.9638662338256836,-1.7573482990264893,-2.431919574737549,-1.6140625476837158,-1.171827793121338,-0.8476582765579224,-0.6400355100631714,-0.4932088255882263,-0.3513978123664856,-0.24881286919116974,-0.14089876413345337,-0.019570602104067802
